venue	title	doi	pdf_url	target_pdf_path
SIGGRAPH 2022	A Comparison of Zoom-in Transition Methods for Multiscale VR	10.1145/3532719.3543237	https://dl.acm.org/doi/pdf/10.1145/3532719.3543237	obsidian-vault/paperPDFs/SIGGRAPH_2022/A_Comparison_of_Zoom_in_Transition_Methods_for_Multiscale_VR.pdf
SIGGRAPH 2022	A Fast Text-driven Approach for Generating Artistic Content	10.1145/3532719.3543208	https://dl.acm.org/doi/pdf/10.1145/3532719.3543208	obsidian-vault/paperPDFs/SIGGRAPH_2022/A_Fast_Text_driven_Approach_for_Generating_Artistic_Content.pdf
SIGGRAPH 2022	A GPU-accelerated Hydrodynamics Solver for Atmosphere-fire Interactions	10.1145/3532719.3543263	https://dl.acm.org/doi/pdf/10.1145/3532719.3543263	obsidian-vault/paperPDFs/SIGGRAPH_2022/A_GPU_accelerated_Hydrodynamics_Solver_for_Atmosphere_fire_Interactions.pdf
SIGGRAPH 2022	A Large-scale Comparison of Tetrahedral and Hexahedral Elements for Solving Elliptic PDEs With the Finite Element Method	10.1145/3508372	https://dl.acm.org/doi/pdf/10.1145/3508372	obsidian-vault/paperPDFs/SIGGRAPH_2022/A_Large_scale_Comparison_of_Tetrahedral_and_Hexahedral_Elements_for_Solving_Elliptic_PDEs_With_the_Finite_Element_Method.pdf
SIGGRAPH 2022	A Well-aligned Dataset for Learning Image Signal Processing on Smartphones From a High-end Camera	10.1145/3532719.3543252	https://dl.acm.org/doi/pdf/10.1145/3532719.3543252	obsidian-vault/paperPDFs/SIGGRAPH_2022/A_Well_aligned_Dataset_for_Learning_Image_Signal_Processing_on_Smartphones_From_a_High_end_Camera.pdf
SIGGRAPH 2022	Accurate Diffuse Lighting From Spherical Gaussian Lights	10.1145/3532719.3543209	https://dl.acm.org/doi/pdf/10.1145/3532719.3543209	obsidian-vault/paperPDFs/SIGGRAPH_2022/Accurate_Diffuse_Lighting_From_Spherical_Gaussian_Lights.pdf
SIGGRAPH 2022	An Inverse Procedural Modeling Pipeline for SVBRDF Maps	10.1145/3502431	https://dl.acm.org/doi/pdf/10.1145/3502431	obsidian-vault/paperPDFs/SIGGRAPH_2022/An_Inverse_Procedural_Modeling_Pipeline_for_SVBRDF_Maps.pdf
SIGGRAPH 2022	Animating Portrait Line Drawings From a Single Face Photo and a Speech Signal	10.1145/3528233.3530720	https://dl.acm.org/doi/pdf/10.1145/3528233.3530720	obsidian-vault/paperPDFs/SIGGRAPH_2022/Animating_Portrait_Line_Drawings_From_a_Single_Face_Photo_and_a_Speech_Signal.pdf
SIGGRAPH 2022	Artist Controlled Fracture Design Using Impurity Maps	10.1145/3532719.3543202	https://dl.acm.org/doi/pdf/10.1145/3532719.3543202	obsidian-vault/paperPDFs/SIGGRAPH_2022/Artist_Controlled_Fracture_Design_Using_Impurity_Maps.pdf
SIGGRAPH 2022	Audio-driven Violin Performance Animation With Clear Fingering and Bowing	10.1145/3532719.3543240	https://dl.acm.org/doi/pdf/10.1145/3532719.3543240	obsidian-vault/paperPDFs/SIGGRAPH_2022/Audio_driven_Violin_Performance_Animation_With_Clear_Fingering_and_Bowing.pdf
SIGGRAPH 2022	Auditory Stimuli Degrade Visual Performance in Virtual Reality	10.1145/3532719.3543220	https://dl.acm.org/doi/pdf/10.1145/3532719.3543220	obsidian-vault/paperPDFs/SIGGRAPH_2022/Auditory_Stimuli_Degrade_Visual_Performance_in_Virtual_Reality.pdf
SIGGRAPH 2022	Automatic Alignment and Completion of Point Cloud Environments Using XR Data	10.1145/3532719.3543258	https://dl.acm.org/doi/pdf/10.1145/3532719.3543258	obsidian-vault/paperPDFs/SIGGRAPH_2022/Automatic_Alignment_and_Completion_of_Point_Cloud_Environments_Using_XR_Data.pdf
SIGGRAPH 2022	Automatic Generation of a 3D Braid Hair Model From a Single Image	10.1145/3532719.3543216	https://dl.acm.org/doi/pdf/10.1145/3532719.3543216	obsidian-vault/paperPDFs/SIGGRAPH_2022/Automatic_Generation_of_a_3D_Braid_Hair_Model_From_a_Single_Image.pdf
SIGGRAPH 2022	Blow-up Print: Rapidly 3D Printing Inflatable Objects in the Compressed State	10.1145/3532719.3543230	https://dl.acm.org/doi/pdf/10.1145/3532719.3543230	obsidian-vault/paperPDFs/SIGGRAPH_2022/Blow_up_Print_Rapidly_3D_Printing_Inflatable_Objects_in_the_Compressed_State.pdf
SIGGRAPH 2022	Centimeter-wave Free-space Neural Time-of-flight Imaging	10.1145/3522671	https://dl.acm.org/doi/pdf/10.1145/3522671	obsidian-vault/paperPDFs/SIGGRAPH_2022/Centimeter_wave_Free_space_Neural_Time_of_flight_Imaging.pdf
SIGGRAPH 2022	Compact Poisson Filters for Fast Fluid Simulation	10.1145/3528233.3530737	https://dl.acm.org/doi/pdf/10.1145/3528233.3530737	obsidian-vault/paperPDFs/SIGGRAPH_2022/Compact_Poisson_Filters_for_Fast_Fluid_Simulation.pdf
SIGGRAPH 2022	Compression and Interactive Visualization of Terabyte Scale Volumetric RGBA Data With Voxel-scale Details	10.1145/3532719.3543256	https://dl.acm.org/doi/pdf/10.1145/3532719.3543256	obsidian-vault/paperPDFs/SIGGRAPH_2022/Compression_and_Interactive_Visualization_of_Terabyte_Scale_Volumetric_RGBA_Data_With_Voxel_scale_Details.pdf
SIGGRAPH 2022	Computational Mirror Cup and Saucer Art	10.1145/3517120	https://dl.acm.org/doi/pdf/10.1145/3517120	obsidian-vault/paperPDFs/SIGGRAPH_2022/Computational_Mirror_Cup_and_Saucer_Art.pdf
SIGGRAPH 2022	Computational Object-wrapping Rope Nets	10.1145/3476829	https://dl.acm.org/doi/pdf/10.1145/3476829	obsidian-vault/paperPDFs/SIGGRAPH_2022/Computational_Object_wrapping_Rope_Nets.pdf
