bucket,venue,file,parse_full_md,pdf_pre_invalid_chars,mineru_markdown_chars,mineru_body_chars,body_stop_heading,body_stop_pos,structured24_chars,structured36_chars,structured48_chars,structured24_body_sections,structured24_key_sections,structured24_covered_sections_probe,structured24_covered_key_sections_probe,structured24_truncated_markers,structured36_body_sections,structured36_key_sections,structured36_covered_sections_probe,structured36_covered_key_sections_probe,structured36_truncated_markers,structured48_body_sections,structured48_key_sections,structured48_covered_sections_probe,structured48_covered_key_sections_probe,structured48_truncated_markers
CVPR,CVPR_2024,3DiffTection_3D_Object_Detection_with_Geometry_Aware_Diffusion_Features.pdf,_private/mineru_only_runs/mineru_l0069_3DiffTection_3D_Object_Detection_with_Geometry-Aware_Diffusion_Features/parse/full.md,38276,68130,43459,6 ACKNOWLEDGMENTS,43461,19976,26241,29381,25,13,14,13,8,25,13,14,13,7,25,13,14,13,2
NEURIPS,NEURIPS_2025,Align_Your_Flow_Scaling_Continuous_Time_Flow_Map_Distillation.pdf,_private/mineru_only_runs/mineru_l1215_Align_Your_Flow_Scaling_Continuous-Time_Flow_Map_Distillation/parse/full.md,35467,163545,49566,References,49568,24000,30057,36228,45,17,17,16,10,45,17,19,17,10,45,17,19,17,8
NEURIPS,NEURIPS_2024,UniMTS_Unified_Pre_training_for_Motion_Time_Series.pdf,_private/local_analysis_runs/paper_list_l1916_UniMTS_Unified_Pre_training_for_Motion_Time_Series/parse/full.md,51698,76609,45476,6 Acknowledgement,45478,18367,23208,25515,24,13,14,13,6,24,13,14,13,5,24,13,14,13,2
ICCV_ECCV,ECCV_2024,MOB_Revisit_Human_Scene_Interaction_via_Space_Occupancy.pdf,_private/local_analysis_runs/paper_list_l1763_MOB_Revisit_Human_Scene_Interaction_via_Space_Occupancy/parse/full.md,38365,65038,41299,Acknowledgments,41301,17474,20272,21719,29,10,13,10,3,29,10,13,10,2,29,10,13,10,1
ICCV_ECCV,ICCV_2025,Being_M0_5_A_Real_Time_Controllable_Vision_Language_Motion_Model.pdf,_private/local_analysis_runs/paper_list_l1767_Being_M0_5_A_Real_Time_Controllable_Vision_Language_Motion_Model/parse/full.md,59299,85590,62435,References,62437,17375,20682,21746,38,11,12,11,5,38,11,12,11,3,38,11,12,11,2
ICLR,ICLR_2026,3D_Aware_Region_Prompted_Vision_Language_Model.pdf,_private/mineru_only_runs/mineru_l0240_3D_Aware_Region_Prompted_Vision_Language_Model/parse/full.md,40022,94357,44708,ACKNOWLEDGEMENT,44710,24000,27628,31796,32,18,19,18,9,32,18,20,18,7,32,18,20,18,6
ICLR,ICLR_2026,World_In_World_World_Models_in_a_Closed_Loop_World.pdf,_private/mineru_only_runs/mineru_l1146_World-In-World_World_Models_in_a_Closed-Loop_World/parse/full.md,67067,138032,44846,REFERENCES,44848,23999,27146,31962,64,18,17,17,9,64,18,18,18,9,64,18,18,18,6
SIGGRAPH,SIGGRAPH_2023,Synthesizing_Physical_Character_Scene_Interactions.pdf,_private/mineru_only_runs/mineru_l1238_Synthesizing_Physical_Character-Scene_Interactions/parse/full.md,37625,63940,40545,REFERENCES,40547,22495,30200,34748,22,12,13,12,11,22,12,13,12,7,22,12,13,12,5
SIGGRAPH,SIGGRAPH_2025,Multi_Person_Interaction_Generation_from_Two_Person_Motion_Priors.pdf,_private/local_analysis_runs/paper_list_l1804_Multi_Person_Interaction_Generation_from_Two_Person_Motion_Priors/parse/full.md,42198,64097,45410,References,45412,18923,23466,24437,26,12,14,12,6,26,12,14,12,4,26,12,14,12,3
ICLR,ICLR_2026,A_Benchmark_for_Deep_Information_Synthesis.pdf,_private/mineru_only_runs/mineru_l0260_A_Benchmark_for_Deep_Information_Synthesis/parse/full.md,65697,68026,36679,REFERENCES,36681,18205,22465,23117,18,8,10,8,6,18,8,10,8,6,18,8,10,8,5
