bucket,venue,file,pages,status,text_chars,pre_invalid_chars,cutoff_found,cutoff_heading,path
CVPR,CVPR_2026,CI_VID_A_Coherent_Interleaved_Text_Video_Dataset.pdf,12,ok,49828,38204,True,References,obsidian-vault/paperPDFs/CVPR_2026/CI_VID_A_Coherent_Interleaved_Text_Video_Dataset.pdf
CVPR,CVPR_2026,Compositional_Text_to_Image_Generation_Via_Region_aware_Bimodal_Direct_Preference_Optimization.pdf,11,ok,53914,35918,True,References,obsidian-vault/paperPDFs/CVPR_2026/Compositional_Text_to_Image_Generation_Via_Region_aware_Bimodal_Direct_Preference_Optimization.pdf
CVPR,CVPR_2026,Content_Aware_Dynamic_Patchification_for_Efficient_Video_Diffusion.pdf,10,ok,45150,37098,True,References,obsidian-vault/paperPDFs/CVPR_2026/Content_Aware_Dynamic_Patchification_for_Efficient_Video_Diffusion.pdf
CVPR,CVPR_2026,Cross_View_Splatter_Feed_Forward_View_Synthesis_with_Georeferenced_Images.pdf,22,ok,72286,33604,True,6. Acknowledgments,obsidian-vault/paperPDFs/CVPR_2026/Cross_View_Splatter_Feed_Forward_View_Synthesis_with_Georeferenced_Images.pdf
CVPR,CVPR_2026,DK_DDIL_Adaptive_Knowledge_Retention_for_Dynamic_Domain_Incremental_Learning_in_Medical_Imaging.pdf,10,ok,48709,38878,True,Acknowledgments,obsidian-vault/paperPDFs/CVPR_2026/DK_DDIL_Adaptive_Knowledge_Retention_for_Dynamic_Domain_Incremental_Learning_in_Medical_Imaging.pdf
CVPR,CVPR_2026,DrivePTS_A_Progressive_Learning_Framework_with_Textual_and_Structural_Enhancement_for_Driving_Scene_Generation.pdf,18,ok,68343,37955,True,References,obsidian-vault/paperPDFs/CVPR_2026/DrivePTS_A_Progressive_Learning_Framework_with_Textual_and_Structural_Enhancement_for_Driving_Scene_Generation.pdf
CVPR,CVPR_2026,Event_Illumination_Collaborative_Low_light_Image_Enhancement_with_a_High_resolution_Real_world_Dataset.pdf,12,ok,52724,33681,True,7. Acknowledgement,obsidian-vault/paperPDFs/CVPR_2026/Event_Illumination_Collaborative_Low_light_Image_Enhancement_with_a_High_resolution_Real_world_Dataset.pdf
CVPR,CVPR_2026,FG_Portrait_3D_Flow_Guided_Editable_Portrait_Animation.pdf,12,ok,46087,32300,True,Supplementary Material,obsidian-vault/paperPDFs/CVPR_2026/FG_Portrait_3D_Flow_Guided_Editable_Portrait_Animation.pdf
CVPR,CVPR_2026,GenColorBench_A_Color_Evaluation_Benchmark_for_Text_to_Image_Generation.pdf,11,ok,55092,40184,True,Acknowledgments,obsidian-vault/paperPDFs/CVPR_2026/GenColorBench_A_Color_Evaluation_Benchmark_for_Text_to_Image_Generation.pdf
CVPR,CVPR_2026,GeoTikzBridge_Advancing_Multimodal_Code_Generation_for_Geometric_Perception_and_Reasoning.pdf,25,ok,91896,35051,True,References,obsidian-vault/paperPDFs/CVPR_2026/GeoTikzBridge_Advancing_Multimodal_Code_Generation_for_Geometric_Perception_and_Reasoning.pdf
CVPR,CVPR_2026,Goal_Driven_Reward_by_Video_Diffusion_Models_for_Reinforcement_Learning.pdf,12,ok,43958,30759,True,References,obsidian-vault/paperPDFs/CVPR_2026/Goal_Driven_Reward_by_Video_Diffusion_Models_for_Reinforcement_Learning.pdf
CVPR,CVPR_2026,Just_in_Time_Training_Free_Spatial_Acceleration_for_Diffusion_Transformers.pdf,19,ok,59497,30011,True,References,obsidian-vault/paperPDFs/CVPR_2026/Just_in_Time_Training_Free_Spatial_Acceleration_for_Diffusion_Transformers.pdf
CVPR,CVPR_2026,Learnability_Guided_Diffusion_for_Dataset_Distillation.pdf,10,ok,44346,35494,True,References,obsidian-vault/paperPDFs/CVPR_2026/Learnability_Guided_Diffusion_for_Dataset_Distillation.pdf
CVPR,CVPR_2026,MatMart_Material_Reconstruction_of_3D_Objects_via_Diffusion.pdf,10,ok,41819,30257,True,References,obsidian-vault/paperPDFs/CVPR_2026/MatMart_Material_Reconstruction_of_3D_Objects_via_Diffusion.pdf
CVPR,CVPR_2026,Memory_Augmented_Scene_Understanding_and_Exploration_for_Open_World_Aerial_Object_Goal_Navigation.pdf,11,ok,47192,35610,True,6. Acknowledgments,obsidian-vault/paperPDFs/CVPR_2026/Memory_Augmented_Scene_Understanding_and_Exploration_for_Open_World_Aerial_Object_Goal_Navigation.pdf
CVPR,CVPR_2026,Omni_Attack_Adversarial_Attacks_on_Open_Ended_VQA_in_Black_Box_Multimodal_LLMs.pdf,11,ok,51707,34997,True,References,obsidian-vault/paperPDFs/CVPR_2026/Omni_Attack_Adversarial_Attacks_on_Open_Ended_VQA_in_Black_Box_Multimodal_LLMs.pdf
CVPR,CVPR_2026,Optical_Flow_Matching_Reframing_Optical_Flow_as_Continuous_Transport_Dynamics.pdf,10,ok,46641,36391,True,References,obsidian-vault/paperPDFs/CVPR_2026/Optical_Flow_Matching_Reframing_Optical_Flow_as_Continuous_Transport_Dynamics.pdf
