paper_id,source_repo,source_item_id,source_section,first_seen_commit,last_seen_commit,membership_status,first_seen_at,last_seen_at
arxiv:2207.09814,chenhsing__awesome-video-diffusion-models,srcitem:6de48612e055,Controllable_Video_video_generation_with_other_conditions_Image_guided_Video_Generation,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2210.06366,chenhsing__awesome-video-diffusion-models,srcitem:609eb8bdfa9f,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2211.08428,chenhsing__awesome-video-diffusion-models,srcitem:d93caae82dae,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2211.11743,chenhsing__awesome-video-diffusion-models,srcitem:6e698f0e32b3,Controllable_Video_video_editing_One_shot_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2211.15076,chenhsing__awesome-video-diffusion-models,srcitem:3a5eb585a103,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2212.02802,chenhsing__awesome-video-diffusion-models,srcitem:2edf97fbc60e,Controllable_Video_video_editing_Domain_specific_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2212.09478,chenhsing__awesome-video-diffusion-models,srcitem:041408967a86,Controllable_Video_depth_guided_video_generation_Multi_modal_guided_Video_Generation,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2212.11565,chenhsing__awesome-video-diffusion-models,srcitem:942a68ba4e60,Controllable_Video_video_editing_One_shot_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2301.04474,chenhsing__awesome-video-diffusion-models,srcitem:2a4c693ecf5b,Controllable_Video_video_editing_Sound_guided_Video_Editing,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2301.13173,chenhsing__awesome-video-diffusion-models,srcitem:a7264b341564,Controllable_Video_video_editing_One_shot_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2302.01329,chenhsing__awesome-video-diffusion-models,srcitem:f76d5444f2fc,Controllable_Video_video_editing_General_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2302.03011,chenhsing__awesome-video-diffusion-models,srcitem:c2f28020af14,Controllable_Video_video_editing_General_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2302.11566,chenhsing__awesome-video-diffusion-models,srcitem:12cb3ca99869,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2302.13434,chenhsing__awesome-video-diffusion-models,srcitem:dffa1668877b,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.04761,chenhsing__awesome-video-diffusion-models,srcitem:92c4e736a0b9,Controllable_Video_video_editing_One_shot_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.07945,chenhsing__awesome-video-diffusion-models,srcitem:922562b882b9,Controllable_Video_video_editing_One_shot_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.09535,chenhsing__awesome-video-diffusion-models,srcitem:a04504df6dd8,Controllable_Video_video_editing_Training_free_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.09867,chenhsing__awesome-video-diffusion-models,srcitem:7b6ea732782e,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.12688,chenhsing__awesome-video-diffusion-models,srcitem:86d4077b456f,Controllable_Video_video_editing_Training_free_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.13744,chenhsing__awesome-video-diffusion-models,srcitem:fbe454180809,Controllable_Video_video_generation_with_other_conditions_Image_guided_Video_Generation,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.14676,chenhsing__awesome-video-diffusion-models,srcitem:da90bc8b2710,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.14863,chenhsing__awesome-video-diffusion-models,srcitem:2c694ccfb0b3,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.17599,chenhsing__awesome-video-diffusion-models,srcitem:216495c7b8a7,Controllable_Video_video_editing_Training_free_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2303.17959,chenhsing__awesome-video-diffusion-models,srcitem:515b6bb3dae1,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2304.01186,chenhsing__awesome-video-diffusion-models,srcitem:495f0d637050,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2304.05841,chenhsing__awesome-video-diffusion-models,srcitem:766a70a733b6,Controllable_Video_video_editing_Video_Understanding,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2304.06025,chenhsing__awesome-video-diffusion-models,srcitem:9b702f0765f2,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2304.06818,chenhsing__awesome-video-diffusion-models,srcitem:d0359745e6ea,Controllable_Video_video_editing_Sound_guided_Video_Editing,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2304.08551,chenhsing__awesome-video-diffusion-models,srcitem:a2a78543f8ab,Controllable_Video_video_generation_with_other_conditions_Sound_guided_Video_Generation,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2304.11603,chenhsing__awesome-video-diffusion-models,srcitem:c6885290acb0,Controllable_Video_video_generation_with_other_conditions_Image_guided_Video_Generation,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2304.14404,chenhsing__awesome-video-diffusion-models,srcitem:8d412d5c0700,Controllable_Video_video_generation_with_other_conditions_Motion_guided_Video_Generation,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
arxiv:2305.02594,chenhsing__awesome-video-diffusion-models,srcitem:8320f6176954,Controllable_Video_video_editing_Domain_specific_Editing_Model,collect_log:auto,collect_log:auto,active,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00
