source_item_id,source_repo,state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path,paper_id,item_type,updated_at
srcitem:fd2f236b760e,chenhsing__awesome-video-diffusion-models,Downloaded,B,EgoControl: Controllable Egocentric Video Generation via 3D Full-Body Poses,CVPR 2026,https://cvg-bonn.github.io/EgoControl,https://arxiv.org/abs/2511.18173,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/CVPR_2026/2026_EgoControl_Controllable_Egocentric_Video_Generation_via_3D_Full_Body_Poses.pdf,arxiv:2511.18173,paper,2026-04-14T00:31:05+08:00
srcitem:85c955c645eb,chenhsing__awesome-video-diffusion-models,Downloaded,B,StableAnimator: High-Quality Identity-Preserving Human Image Animation,CVPR 2025,https://francis-rings.github.io/StableAnimator,https://arxiv.org/abs/2411.17697,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/CVPR_2025/2025_StableAnimator_High_Quality_Identity_Preserving_Human_Image_Animation.pdf,arxiv:2411.17697,paper,2026-04-14T00:31:05+08:00
srcitem:6354f659f221,chenhsing__awesome-video-diffusion-models,Wait,B,MOFA-Video: Controllable Image Animation via Generative Motion Field Adaptions in Frozen Image-to-Video Diffusion Model,ECCV 2024,https://myniuuu.github.io/MOFA_Video,https://arxiv.org/abs/2405.20222,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/ECCV_2024/2024_MOFA_Video_Controllable_Image_Animation_via_Generative_Motion_Field_Adaptions_in_Frozen_Image_to_Video_Diffusion_Model.pdf,arxiv:2405.20222,paper,2026-04-14T00:31:05+08:00
srcitem:7c7f69ffa338,chenhsing__awesome-video-diffusion-models,Wait,B,MimicMotion: High-Quality Human Motion Video Generation with Confidence-aware Pose Guidance,ICML 2025,https://tencent.github.io/MimicMotion,https://arxiv.org/abs/2406.19680,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/ICML_2025/2025_MimicMotion_High_Quality_Human_Motion_Video_Generation_with_Confidence_aware_Pose_Guidance.pdf,arxiv:2406.19680,paper,2026-04-14T00:31:05+08:00
srcitem:1e3587d1e8ca,chenhsing__awesome-video-diffusion-models,Wait,B,Champ: Controllable and Consistent Human Image Animation with 3D Parametric Guidance,ECCV 2024,https://fudan-generative-vision.github.io/champ,https://arxiv.org/abs/2403.14781,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/ECCV_2024/2024_Champ_Controllable_and_Consistent_Human_Image_Animation_with_3D_Parametric_Guidance.pdf,arxiv:2403.14781,paper,2026-04-14T00:31:05+08:00
srcitem:77e5c646fd36,chenhsing__awesome-video-diffusion-models,Wait,B,Action Reimagined: Text-to-Pose Video Editing for Dynamic Human Actions,arXiv 2024,N/A,https://arxiv.org/abs/2403.07198,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/arXiv_2024/2024_Action_Reimagined_Text_to_Pose_Video_Editing_for_Dynamic_Human_Actions.pdf,arxiv:2403.07198,paper,2026-04-14T00:31:05+08:00
srcitem:f14cf97953df,chenhsing__awesome-video-diffusion-models,Wait,B,Do You Guys Want to Dance: Zero-Shot Compositional Human Dance Generation with Multiple Persons,arXiv 2024,N/A,https://arxiv.org/abs/2401.13363,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/arXiv_2024/2024_Do_You_Guys_Want_to_Dance_Zero_Shot_Compositional_Human_Dance_Generation_with_Multiple_Persons.pdf,arxiv:2401.13363,paper,2026-04-14T00:31:05+08:00
srcitem:a15e4753b9f7,chenhsing__awesome-video-diffusion-models,Wait,B,DreaMoving: A Human Dance Video Generation Framework based on Diffusion Models,arXiv 2023,https://dreamoving.github.io/dreamoving,https://arxiv.org/abs/2312.05107,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/arXiv_2023/2023_DreaMoving_A_Human_Dance_Video_Generation_Framework_based_on_Diffusion_Models.pdf,arxiv:2312.05107,paper,2026-04-14T00:31:05+08:00
srcitem:0cc01886f0d3,chenhsing__awesome-video-diffusion-models,Wait,B,MagicAnimate: Temporally Consistent Human Image Animation using Diffusion Model,CVPR 2024,https://showlab.github.io/magicanimate,https://arxiv.org/abs/2311.16498,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/CVPR_2024/2024_MagicAnimate_Temporally_Consistent_Human_Image_Animation_using_Diffusion_Model.pdf,arxiv:2311.16498,paper,2026-04-14T00:31:05+08:00
srcitem:e1dc175ac4d1,chenhsing__awesome-video-diffusion-models,Wait,B,Animate Anyone: Consistent and Controllable Image-to-Video Synthesis for Character Animation,CVPR 2024,https://humanaigc.github.io/animate-anyone,https://arxiv.org/abs/2311.17117,Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation,paperPDFs/Controllable_Video_video_generation_with_other_conditions_Pose_guided_Video_Generation/CVPR_2024/2024_Animate_Anyone_Consistent_and_Controllable_Image_to_Video_Synthesis_for_Character_Animation.pdf,arxiv:2311.17117,paper,2026-04-14T00:31:05+08:00
