source_item_id,source_repo,state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path,paper_id,item_type,updated_at
srcitem:5a556886dc4e,foruck__awesome-human-motion,Downloaded,Unrated,"Advances in 4D Representation: Geometry, Motion, and Interaction",arXiv 2025,N/A,https://arxiv.org/abs/2510.19255,Reviews_and_Surveys,paperPDFs/Reviews_and_Surveys/arXiv_2025/2025_Advances_in_4D_Representation_Geometry_Motion_and_Interaction.pdf,arxiv:2510.19255,paper,2026-04-22T22:30:10+08:00
srcitem:83acc47135db,foruck__awesome-human-motion,Downloaded,Unrated,Chang et al.: Large-Scale Multi-Character Interaction Synthesis,SIGGRAPH 2025,N/A,https://arxiv.org/abs/2505.14087,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/SIGGRAPH_2025/2025_Chang_et_al._Large_Scale_Multi_Character_Interaction_Synthesis.pdf,arxiv:2505.14087,paper,2026-04-22T22:30:10+08:00
srcitem:83fbb72e4d5f,foruck__awesome-human-motion,Downloaded,Unrated,MOST: Motion Diffusion Model for Rare Text via Temporal Clip Banzhaf Interaction,arXiv 2025,N/A,https://arxiv.org/abs/2507.06590,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/arXiv_2025/2025_MOST_Motion_Diffusion_Model_for_Rare_Text_via_Temporal_Clip_Banzhaf_Interaction.pdf,arxiv:2507.06590,paper,2026-04-22T22:30:10+08:00
srcitem:ed90b64c6c94,foruck__awesome-human-motion,Downloaded,Unrated,ViHOI: Human-Object Interaction Synthesis with Visual Priors,CVPR 2026,N/A,https://arxiv.org/abs/2603.24383,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/CVPR_2026/2026_ViHOI_Human_Object_Interaction_Synthesis_with_Visual_Priors.pdf,arxiv:2603.24383,paper,2026-04-22T22:30:10+08:00
srcitem:39f145106c66,foruck__awesome-human-motion,Downloaded,Unrated,Hoi3DGen: Generating High-Quality Human-Object-Interactions in 3D,arXiv 2026,N/A,https://arxiv.org/abs/2603.12126,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2026/2026_Hoi3DGen_Generating_High_Quality_Human_Object_Interactions_in_3D.pdf,arxiv:2603.12126,paper,2026-04-22T22:30:10+08:00
srcitem:3ae6b2a822b7,foruck__awesome-human-motion,Downloaded,Unrated,TeamHOI: Learning a Unified Policy for Cooperative Human-Object Interactions with Any Team Size,CVPR 2026,N/A,https://arxiv.org/abs/2603.07988,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/CVPR_2026/2026_TeamHOI_Learning_a_Unified_Policy_for_Cooperative_Human_Object_Interactions_with_Any_Team_Size.pdf,arxiv:2603.07988,paper,2026-04-22T22:30:10+08:00
srcitem:99aad6acbaec,foruck__awesome-human-motion,Downloaded,Unrated,InterReal: A Unified Physics-Based Imitation Framework for Learning Human-Object Interaction Skills,arXiv 2026,N/A,https://arxiv.org/abs/2603.07516,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2026/2026_InterReal_A_Unified_Physics_Based_Imitation_Framework_for_Learning_Human_Object_Interaction_Skills.pdf,arxiv:2603.07516,paper,2026-04-22T22:30:10+08:00
srcitem:9ae6773002fa,foruck__awesome-human-motion,Downloaded,Unrated,OnlineHOI: Towards Online Human-Object Interaction Generation and Perception,ACM MM 2025,N/A,https://arxiv.org/abs/2509.12250,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/ACM_MM_2025/2025_OnlineHOI_Towards_Online_Human_Object_Interaction_Generation_and_Perception.pdf,arxiv:2509.12250,paper,2026-04-22T22:30:10+08:00
srcitem:7355807970ed,foruck__awesome-human-motion,Downloaded,Unrated,SMGDiff: Soccer Motion Generation using diffusion probabilistic models,ICCV 2025,N/A,https://arxiv.org/abs/2411.16216,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/ICCV_2025/2025_SMGDiff_Soccer_Motion_Generation_using_diffusion_probabilistic_models.pdf,arxiv:2411.16216,paper,2026-04-22T22:30:10+08:00
srcitem:cd6d0ccadeff,foruck__awesome-human-motion,Downloaded,Unrated,PhysicsFC: Learning User-Controlled Skills for a Physics-Based Football Player Controller,SIGGRAPH 2025,N/A,https://arxiv.org/abs/2504.21216,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/SIGGRAPH_2025/2025_PhysicsFC_Learning_User_Controlled_Skills_for_a_Physics_Based_Football_Player_Controller.pdf,arxiv:2504.21216,paper,2026-04-22T22:30:10+08:00
srcitem:81b72e5f0db6,foruck__awesome-human-motion,Downloaded,Unrated,SkillMimic-v2: Learning Robust and Generalizable Interaction Skills from Sparse and Noisy Demonstrations,SIGGRAPH 2025,N/A,https://arxiv.org/abs/2505.02094,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/SIGGRAPH_2025/2025_SkillMimic_v2_Learning_Robust_and_Generalizable_Interaction_Skills_from_Sparse_and_Noisy_Demonstrations.pdf,arxiv:2505.02094,paper,2026-04-22T22:30:10+08:00
srcitem:65d86840d333,foruck__awesome-human-motion,Downloaded,Unrated,ChainHOI: Joint-based Kinematic Chain Modeling for Human-Object Interaction Generation,CVPR 2025,N/A,https://arxiv.org/abs/2503.13130,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/CVPR_2025/2025_ChainHOI_Joint_based_Kinematic_Chain_Modeling_for_Human_Object_Interaction_Generation.pdf,arxiv:2503.13130,paper,2026-04-22T22:30:10+08:00
srcitem:a737cca91d4d,foruck__awesome-human-motion,Downloaded,Unrated,An Image-like Diffusion Method for Human-Object Interaction Detection,CVPR 2025,N/A,https://arxiv.org/abs/2503.18134,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/CVPR_2025/2025_An_Image_like_Diffusion_Method_for_Human_Object_Interaction_Detection.pdf,arxiv:2503.18134,paper,2026-04-22T22:30:10+08:00
srcitem:c430742849a1,foruck__awesome-human-motion,Downloaded,Unrated,PersonaHOI: Effortlessly Improving Personalized Face with Human-Object Interaction Generation,CVPR 2025,N/A,https://arxiv.org/abs/2501.05823,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/CVPR_2025/2025_PersonaHOI_Effortlessly_Improving_Personalized_Face_with_Human_Object_Interaction_Generation.pdf,arxiv:2501.05823,paper,2026-04-22T22:30:10+08:00
srcitem:ff4497ba43fe,foruck__awesome-human-motion,Downloaded,Unrated,MobileH2R: Learning Generalizable Human to Mobile Robot Handover Exclusively from Scalable and Diverse Synthetic Data,CVPR 2025,N/A,https://arxiv.org/abs/2501.04595,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/CVPR_2025/2025_MobileH2R_Learning_Generalizable_Human_to_Mobile_Robot_Handover_Exclusively_from_Scalable_and_Diverse_Synthetic_Data.pdf,arxiv:2501.04595,paper,2026-04-22T22:30:10+08:00
srcitem:5ef6139e459d,foruck__awesome-human-motion,Downloaded,Unrated,ARDHOI: Auto-Regressive Diffusion for Generating 3D Human-Object Interactions,AAAI 2025,N/A,https://arxiv.org/abs/2503.16801,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/AAAI_2025/2025_ARDHOI_Auto_Regressive_Diffusion_for_Generating_3D_Human_Object_Interactions.pdf,arxiv:2503.16801,paper,2026-04-22T22:30:10+08:00
srcitem:46d192d1e503,foruck__awesome-human-motion,Downloaded,Unrated,3D Whole-body Grasp Synthesis with Directional Controllability,3DV 2025,N/A,https://arxiv.org/abs/2408.16770,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/3DV_2025/2025_3D_Whole_body_Grasp_Synthesis_with_Directional_Controllability.pdf,arxiv:2408.16770,paper,2026-04-22T22:30:10+08:00
srcitem:8d9261846738,foruck__awesome-human-motion,Downloaded,Unrated,"MotionVerse: A Unified Multimodal Framework for Motion Comprehension, Generation and Editing",PAMI 2025,N/A,https://arxiv.org/abs/2509.23635,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/PAMI_2025/2025_MotionVerse_A_Unified_Multimodal_Framework_for_Motion_Comprehension_Generation_and_Editing.pdf,arxiv:2509.23635,paper,2026-04-22T22:30:10+08:00
srcitem:5fe78b0f6984,foruck__awesome-human-motion,Downloaded,Unrated,EigenActor: Variant Body-Object Interaction Generation Evolved from Invariant Action Basis Reasoning,PAMI 2025,N/A,https://arxiv.org/abs/2503.00382,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/PAMI_2025/2025_EigenActor_Variant_Body_Object_Interaction_Generation_Evolved_from_Invariant_Action_Basis_Reasoning.pdf,arxiv:2503.00382,paper,2026-04-22T22:30:10+08:00
srcitem:db9b25bc372c,foruck__awesome-human-motion,Downloaded,Unrated,InteractMove: Text-Controlled Human-Object Interaction Generation in 3D Scenes with Movable Objects,arXiv 2025,N/A,https://arxiv.org/abs/2509.23612,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2025/2025_InteractMove_Text_Controlled_Human_Object_Interaction_Generation_in_3D_Scenes_with_Movable_Objects.pdf,arxiv:2509.23612,paper,2026-04-22T22:30:10+08:00
srcitem:e0d6f4e0d0ed,foruck__awesome-human-motion,Downloaded,Unrated,ECHO: Ego-Centric modeling of Human-Object interactions,arXiv 2025,N/A,https://arxiv.org/abs/2508.21556,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2025/2025_ECHO_Ego_Centric_modeling_of_Human_Object_interactions.pdf,arxiv:2508.21556,paper,2026-04-22T22:30:10+08:00
srcitem:db58ef68e3e2,foruck__awesome-human-motion,Downloaded,Unrated,CoopDiff: Anticipating 3D Human-object Interactions via Contact-consistent Decoupled Diffusion,arXiv 2025,N/A,https://arxiv.org/abs/2508.07162,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2025/2025_CoopDiff_Anticipating_3D_Human_object_Interactions_via_Contact_consistent_Decoupled_Diffusion.pdf,arxiv:2508.07162,paper,2026-04-22T22:30:10+08:00
srcitem:3170456c14d2,foruck__awesome-human-motion,Downloaded,Unrated,HOI-Dyn: Learning Interaction Dynamics for Human-Object Motion Diffusion,arXiv 2025,N/A,https://arxiv.org/abs/2507.01737,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2025/2025_HOI_Dyn_Learning_Interaction_Dynamics_for_Human_Object_Motion_Diffusion.pdf,arxiv:2507.01737,paper,2026-04-22T22:30:10+08:00
srcitem:0e1c981cf2ed,foruck__awesome-human-motion,Downloaded,Unrated,GenHOI: Generalizing Text-driven 4D Human-Object Interaction Synthesis for Unseen Objects,arXiv 2025,N/A,https://arxiv.org/abs/2506.15483,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2025/2025_GenHOI_Generalizing_Text_driven_4D_Human_Object_Interaction_Synthesis_for_Unseen_Objects.pdf,arxiv:2506.15483,paper,2026-04-22T22:30:10+08:00
srcitem:0b08f2afa573,foruck__awesome-human-motion,Downloaded,Unrated,MaskedManipulator: Versatile Whole-Body Control for Loco-Manipulation,arXiv 2025,N/A,https://arxiv.org/abs/2505.19086,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2025/2025_MaskedManipulator_Versatile_Whole_Body_Control_for_Loco_Manipulation.pdf,arxiv:2505.19086,paper,2026-04-22T22:30:10+08:00
srcitem:d1ea6fc7f9a8,foruck__awesome-human-motion,Downloaded,Unrated,UniHM: Universal Human Motion Generation with Object Interactions in Indoor Scenes,arXiv 2025,N/A,https://arxiv.org/abs/2505.12774,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2025/2025_UniHM_Universal_Human_Motion_Generation_with_Object_Interactions_in_Indoor_Scenes.pdf,arxiv:2505.12774,paper,2026-04-22T22:30:10+08:00
srcitem:c8d57dd22cb3,foruck__awesome-human-motion,Downloaded,Unrated,EJIM: Efficient Explicit Joint-level Interaction Modeling with Mamba for Text-guided HOI Generation,arXiv 2025,N/A,https://arxiv.org/abs/2503.23121,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2025/2025_EJIM_Efficient_Explicit_Joint_level_Interaction_Modeling_with_Mamba_for_Text_guided_HOI_Generation.pdf,arxiv:2503.23121,paper,2026-04-22T22:30:10+08:00
srcitem:c5a3cc9a61df,foruck__awesome-human-motion,Downloaded,Unrated,CHOICE: Coordinated Human-Object Interaction in Cluttered Environments for Pick-and-Place Actions,arXiv 2024,N/A,https://arxiv.org/abs/2412.06702,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2024/2024_CHOICE_Coordinated_Human_Object_Interaction_in_Cluttered_Environments_for_Pick_and_Place_Actions.pdf,arxiv:2412.06702,paper,2026-04-22T22:30:10+08:00
srcitem:ea39821da4f2,foruck__awesome-human-motion,Downloaded,Unrated,COLLAGE: Collaborative Human-Agent Interaction Generation using Hierarchical Latent Diffusion and Language Models,arXiv 2024,N/A,https://arxiv.org/abs/2409.20502,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/arXiv_2024/2024_COLLAGE_Collaborative_Human_Agent_Interaction_Generation_using_Hierarchical_Latent_Diffusion_and_Language_Models.pdf,arxiv:2409.20502,paper,2026-04-22T22:30:10+08:00
srcitem:ea3d196e4b6f,foruck__awesome-human-motion,Downloaded,Unrated,HumanVLA: Towards Vision-Language Directed Object Rearrangement by Physical Humanoid,NeurIPS 2024,N/A,https://arxiv.org/abs/2406.19972,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/NeurIPS_2024/2024_HumanVLA_Towards_Vision_Language_Directed_Object_Rearrangement_by_Physical_Humanoid.pdf,arxiv:2406.19972,paper,2026-04-22T22:30:10+08:00
srcitem:b4a1f8208793,foruck__awesome-human-motion,Downloaded,Unrated,InterDreamer: Zero-Shot Text to 3D Dynamic Human-Object Interaction,NeurIPS 2024,N/A,https://arxiv.org/abs/2403.19652,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/NeurIPS_2024/2024_InterDreamer_Zero_Shot_Text_to_3D_Dynamic_Human_Object_Interaction.pdf,arxiv:2403.19652,paper,2026-04-22T22:30:10+08:00
srcitem:306ffda335df,foruck__awesome-human-motion,Downloaded,Unrated,TOCH: Spatio-Temporal Object-to-Hand Correspondence for Motion Refinement,ECCV 2022,N/A,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136630001.pdf,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/ECCV_2022/2022_TOCH_Spatio_Temporal_Object_to_Hand_Correspondence_for_Motion_Refinement.pdf,hash:a7c9e21c,paper,2026-04-22T22:30:10+08:00
srcitem:0d58d6013112,foruck__awesome-human-motion,Downloaded,Unrated,ArtHOI: Articulated Human-Object Interaction Synthesis by 4D Reconstruction from Video Priors,arXiv 2026,N/A,https://arxiv.org/abs/2603.04338,Human_Scene_Interaction,paperPDFs/Human_Scene_Interaction/arXiv_2026/2026_ArtHOI_Articulated_Human_Object_Interaction_Synthesis_by_4D_Reconstruction_from_Video_Priors.pdf,arxiv:2603.04338,paper,2026-04-22T22:30:10+08:00
srcitem:c85506c56080,foruck__awesome-human-motion,Downloaded,Unrated,SceMoS: Scene-Aware 3D Human Motion Synthesis by Planning with Geometry-Grounded Tokens,arXiv 2026,N/A,https://arxiv.org/abs/2602.20476,Human_Scene_Interaction,paperPDFs/Human_Scene_Interaction/arXiv_2026/2026_SceMoS_Scene_Aware_3D_Human_Motion_Synthesis_by_Planning_with_Geometry_Grounded_Tokens.pdf,arxiv:2602.20476,paper,2026-04-22T22:30:10+08:00
