status	setting	original_bytes	new_bytes	original_pages	new_pages	path	detail
replaced	ebook	139319096	665698	8	8	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/DeepMVSHair_Deep_Hair_Modeling_from_Sparse_Views.pdf	qpdf ok
replaced	ebook	139680928	879432	11	11	obsidian-vault/paperPDFs/SIGGRAPH_2025/Physics_inspired_Estimation_of_Optimal_Cloth_Mesh_Resolution.pdf	qpdf ok
replaced	ebook	132319512	818190	11	11	obsidian-vault/paperPDFs/SIGGRAPH_2024/RGB_X_Image_Decomposition_and_Synthesis_Using_Material_and_Lighting_aware_Diffusion_Models.pdf	qpdf ok
replaced	ebook	140926160	985141	21	21	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Alignable_Lamella_Gridshells.pdf	qpdf ok
replaced	ebook	130971584	1069273	15	15	obsidian-vault/paperPDFs/SIGGRAPH_2022/Semantically_Supervised_Appearance_Decomposition_for_Virtual_Staging_From_a_Single_Panorama.pdf	qpdf ok
replaced	ebook	137247397	1740325	28	28	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/An_Adaptive_Fast_Multipole_Accelerated_Hybrid_Boundary_Integral_Equation_Method_for_Accurate_Diffusion_Curves.pdf	qpdf ok
replaced	ebook	131288689	2034146	19	19	obsidian-vault/paperPDFs/SIGGRAPH_2025/TetWeave_Isosurface_Extraction_using_On_The_Fly_Delaunay_Tetrahedral_Grids_for_Gradient_Based_Mesh_Optimization.pdf	qpdf ok
replaced	ebook	135587363	7366948	24	24	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Example_Based_Feature_Painting_on_Textures.pdf	qpdf ok
replaced	ebook	128995670	2781087	16	16	obsidian-vault/paperPDFs/SIGGRAPH_2023/Effect_based_Multi_viewer_Caching_for_Cloud_native_Rendering.pdf	qpdf ok
replaced	ebook	130892024	3859585	17	17	obsidian-vault/paperPDFs/SIGGRAPH_2022/Grid_free_Monte_Carlo_for_PDEs_With_Spatially_Varying_Coefficients.pdf	qpdf ok
replaced	ebook	127524276	1197456	15	15	obsidian-vault/paperPDFs/SIGGRAPH_2023/In_Timestep_Remeshing_for_Contacting_Elastodynamics.pdf	qpdf ok
replaced	ebook	127612052	1310548	16	16	obsidian-vault/paperPDFs/SIGGRAPH_2022/Joint_Neural_Phase_Retrieval_and_Compression_for_Energy_and_Computation_efficient_Holography_on_the_Edge.pdf	qpdf ok
replaced	ebook	128743883	4315210	18	18	obsidian-vault/paperPDFs/SIGGRAPH_2023/Micro_Mesh_Construction.pdf	qpdf ok
replaced	ebook	133438601	3233657	19	19	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Automatic_Sampling_for_Discontinuities_in_Differentiable_Shaders.pdf	qpdf ok
replaced	ebook	126003156	2018426	11	11	obsidian-vault/paperPDFs/SIGGRAPH_2024/MVD_2_Efficient_Multiview_3D_Reconstruction_for_Multiview_Diffusion.pdf	qpdf ok
replaced	ebook	129154788	4200857	25	25	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Magic_Fixup_Streamlining_Photo_Editing_by_Watching_Dynamic_Videos.pdf	qpdf ok
replaced	ebook	124632133	1244546	17	17	obsidian-vault/paperPDFs/SIGGRAPH_2024/NeurCADRecon_Neural_Representation_for_Reconstructing_CAD_Surfaces_by_Enforcing_Zero_Gaussian_Curvature.pdf	qpdf ok
replaced	ebook	124042243	1557557	25	25	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Differentiable_Light_Transport_with_Gaussian_Surfels_via_Adapted_Radiosity_for_Efficient_Relighting_and_Geometry_Reconstruction.pdf	qpdf ok
