status	path	source_url	original_logged_bytes	overcompressed_bytes	downloaded_bytes	final_bytes	method	reason
replaced	obsidian-vault/paperPDFs/CVPR_2026/WorldReel_4D_Video_Generation_with_Consistent_Geometry_and_Motion_Modeling.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Fang_WorldReel_4D_Video_Generation_with_Consistent_Geometry_and_Motion_Modeling_CVPR_2026_paper.html	46601787	583025	46601787	2887950	gs-600dpi-q95; 2.75MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Layered_4D_Rotor_Gaussian_Splatting_A_Compressed_Representation_for_Long_Dynamic_Scenes.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Layered_4D-Rotor_Gaussian_Splatting_A_Compressed_Representation_for_Long_Dynamic_CVPR_2026_paper.html	48008181	1802168	48008181	3694227	gs-600dpi-q95; 3.52MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/TimeRipples_Accelerating_vDiTs_by_Understanding_the_Spatio_Temporal_Correlations_in_Latent_Space.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Mao_TimeRipples_Accelerating_vDiTs_by_Understanding_the_Spatio-Temporal_Correlations_in_Latent_CVPR_2026_paper.html	43616041	1210012	43616041	3360478	gs-600dpi-q95; 3.20MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Selectively_Extracting_and_Injecting_Visual_Attributes_into_Text_to_Image_Models.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Choi_Selectively_Extracting_and_Injecting_Visual_Attributes_into_Text-to-Image_Models_CVPR_2026_paper.html	38472658	755210	38472658	3683944	gs-600dpi-q95; 3.51MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/FlashIn_Fast_and_Accurate_Image_Inversion_for_Real_time_Image_Editing.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Wang_FlashIn_Fast_and_Accurate_Image_Inversion_for_Real-time_Image_Editing_CVPR_2026_paper.html	34932993	625626	34932993	2103576	gs-600dpi-q95; 2.01MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/What_Is_It_Like_to_Be_a_Noise_An_Entropy_based_Gaussian_Noise_Regularization_for_Diffusion_Models.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Chang_What_Is_It_Like_to_Be_a_Noise_An_Entropy-based_CVPR_2026_paper.html	31024368	2297008	31024368	4904426	gs-600dpi-q95; 4.68MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Edge_Focused_Super_Resolution_for_Omnidirectional_Images_with_Spherical_Geometric_Augmentation.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Wang_Edge-Focused_Super-Resolution_for_Omnidirectional_Images_with_Spherical_Geometric_Augmentation_CVPR_2026_paper.html	30431271	387120	30431271	2272279	gs-600dpi-q95; 2.17MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Training_free_Motion_Factorization_for_Compositional_Video_Generation.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Wang_Training-free_Motion_Factorization_for_Compositional_Video_Generation_CVPR_2026_paper.html	28642447	1030869	28642447	4320877	gs-600dpi-q95; 4.12MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Hoi_A_Multimodal_Dataset_for_Force_Grounded_Cross_View_Articulated_Manipulation.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Engelbracht_Hoi_-_A_Multimodal_Dataset_for_Force-Grounded_Cross-View_Articulated_Manipulation_CVPR_2026_paper.html	27865807	685428	27865807	3492858	gs-600dpi-q95; 3.33MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/CoSMo3D_Open_World_Promptable_3D_Semantic_Segmentation_through_LLM_Guided_Canonical_Spatial_Modeling.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Jin_CoSMo3D_Open-World_Promptable_3D_Semantic_Segmentation_through_LLM-Guided_Canonical_Spatial_CVPR_2026_paper.html	27729054	709383	27729054	4716873	gs-600dpi-q95; 4.50MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/MLLMSplat_A_2D_MLLM_Powered_Framework_for_3D_Gaussian_Splatting_Understanding_Generation_and_Editing.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Xiu_MLLMSplat_A_2D_MLLM-Powered_Framework_for_3D_Gaussian_Splatting_Understanding_CVPR_2026_paper.html	27186469	762881	27186469	2298923	gs-600dpi-q95; 2.19MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Thinking_in_360deg_Humanoid_Visual_Search_in_the_Wild.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Yu_Thinking_in_360deg_Humanoid_Visual_Search_in_the_Wild_CVPR_2026_paper.html	25606457	889948	25606457	4257583	gs-600dpi-q95; 4.06MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Diff4Splat_Repurposing_Video_Diffusion_Models_for_Dynamic_Scene_Generation.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Pan_Diff4Splat_Repurposing_Video_Diffusion_Models_for_Dynamic_Scene_Generation_CVPR_2026_paper.html	26184690	602832	26184690	2915130	gs-600dpi-q95; 2.78MiB	ok
exception	obsidian-vault/paperPDFs/CVPR_2026/UniGen_1_5_Enhancing_Image_Generation_and_Editing_through_Reward_Unification_in_RL.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Tian_UniGen-1.5_Enhancing_Image_Generation_and_Editing_through_Reward_Unification_in_CVPR_2026_paper.html	25084608	591200				IncompleteRead: IncompleteRead(25018107 bytes read, 66501 more expected)
exception	obsidian-vault/paperPDFs/CVPR_2026/GauMVC_Generative_Decoupled_Gaussian_Representation_for_Human_centric_Multi_view_Video_Compression.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Yan_GauMVC_Generative_Decoupled_Gaussian_Representation_for_Human-centric_Multi-view_Video_Compression_CVPR_2026_paper.html	24679439	1296749				IncompleteRead: IncompleteRead(22896957 bytes read, 1782482 more expected)
replaced	obsidian-vault/paperPDFs/CVPR_2026/Write_Where_It_Matters_Policy_Guided_Watermarks_for_3D_Gaussian_Splatting.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Li_Write_Where_It_Matters_Policy-Guided_Watermarks_for_3D_Gaussian_Splatting_CVPR_2026_paper.html	24150972	569225	24150972	1347379	gs-600dpi-q95; 1.28MiB	ok
