status	path	source_url	original_logged_bytes	overcompressed_bytes	downloaded_bytes	final_bytes	method	reason
download_invalid	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Video_driven_Neural_Physically_based_Facial_Asset_for_Production.pdf	https://dl.acm.org/doi/pdf/10.1145/3550454.3555445	28866831	1218720	25643405			"qpdf failed: WARNING: /home/ripemangobox/Downloads/acm_sig_auto/3550454.3555445.pdf: file is damaged
WARNING: /home/ripemangobox/Downloads/acm_sig_auto/3550454.3555445.pdf: can't find startxref
WARNING: /home/ripemangobox/Downloads/acm_sig_auto/3550454.3555445.pdf: Attempting to reconstruct cross-reference table
qpdf: /home/ripemangobox/Downloads/acm_sig_auto/3550454.3555445.pdf: unable to find trailer dictionary while recovering damaged file"
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Learn_to_Create_Simple_LEGO_Micro_Buildings.pdf	https://dl.acm.org/doi/pdf/10.1145/3687755	28334358	656710	28334358	3337807	gs-600dpi-q100; 3.18MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Polynomial_Cauchy_Coordinates_for_Curved_Cages.pdf	https://dl.acm.org/doi/pdf/10.1145/3680528.3687654	28268746	863160	28268746	2198689	gs-600dpi-q100; 2.10MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/In_2_4D_Inbetweening_from_Two_Single_View_Images_to_4D_Generation.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763904	28097742	1898872	28097742	5626653	gs-600dpi-q100; 5.37MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/A_Nonconforming_Formulation_of_Cloth.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763989	27881253	848908	27881253	4473237	gs-600dpi-q100; 4.27MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2024/Going_With_the_Flow.pdf	https://dl.acm.org/doi/pdf/10.1145/3658164	27820867	928139	27820867	5078525	gs-600dpi-q100; 4.84MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/ACE_Adversarial_Correspondence_Embedding_for_Cross_Morphology_Motion_Retargeting_from_Human_to_Nonhuman_Characters.pdf	https://dl.acm.org/doi/pdf/10.1145/3610548.3618255	27766432	628587	27766432	2065747	gs-600dpi-q100; 1.97MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/Building_a_Virtual_Weakly_compressible_Wind_Tunnel_Testing_Facility.pdf	https://dl.acm.org/doi/pdf/10.1145/3592394	27400452	763785	27400452	3306071	gs-600dpi-q100; 3.15MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2025/RigAnything_Template_Free_Autoregressive_Rigging_for_Diverse_3D_Assets.pdf	https://dl.acm.org/doi/pdf/10.1145/3731149	27313100	1485314	27313100	11691676	gs-600dpi-q100; 11.15MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/SkinMixer_Blending_3D_Animated_Models.pdf	https://dl.acm.org/doi/pdf/10.1145/3550454.3555503	26957260	1380337	26957260	5005365	gs-600dpi-q100; 4.77MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/LetsGo_Large_Scale_Garage_Modeling_and_Rendering_via_LiDAR_Assisted_Gaussian_Primitives.pdf	https://dl.acm.org/doi/pdf/10.1145/3687762	26904479	1115927	26904479	8667783	gs-600dpi-q100; 8.27MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/Key_locked_Rank_One_Editing_for_Text_to_image_Personalization.pdf	https://dl.acm.org/doi/pdf/10.1145/3588432.3591506	26893551	1830381	26893551	8700409	gs-600dpi-q100; 8.30MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2025/Guided_Lens_Sampling_for_Efficient_Monte_Carlo_Circle_of_Confusion_Rendering.pdf	https://dl.acm.org/doi/pdf/10.1145/3721238.3730608	26861687	1071770	26861687	3377031	gs-600dpi-q100; 3.22MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/SymBridge_A_Human_in_the_Loop_Cyber_Physical_Interactive_System_for_Adaptive_Human_Robot_Symbiosis.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763915	26795813	998384	26795813	2572732	gs-600dpi-q100; 2.45MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2025/DeFillet_Detection_and_Removal_of_Fillet_Regions_in_Polygonal_CAD_Models.pdf	https://dl.acm.org/doi/pdf/10.1145/3731166	26591945	1088745	26591945	20564556	gs-600dpi-q100; 19.61MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Snapping_Deployable_Toroids_for_Modular_Gridshells.pdf	https://dl.acm.org/doi/pdf/10.1145/3763808	26553204	1250737	26553204	8297214	gs-600dpi-q100; 7.91MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/AvatarReX_Real_time_Expressive_Full_body_Avatars.pdf	https://dl.acm.org/doi/pdf/10.1145/3592101	26539197	897973	26539197	2722115	gs-600dpi-q100; 2.60MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/RemixFusion_Residual_based_Mixed_Representation_for_Large_scale_Online_RGB_D_Reconstruction.pdf	https://dl.acm.org/doi/pdf/10.1145/3769007	26461913	1689785	26461913	11412081	gs-600dpi-q100; 10.88MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Neural_Cloth_Simulation.pdf	https://dl.acm.org/doi/pdf/10.1145/3550454.3555491	26393687	626651	26393687	2157642	gs-600dpi-q100; 2.06MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2022/Guided_Bubbles_and_Wet_Foam_for_Realistic_Whitewater_Simulation.pdf	https://dl.acm.org/doi/pdf/10.1145/3528223.3530059	26205308	1148836	26205308	20821812	gs-600dpi-q100; 19.86MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/CBIL_Collective_Behavior_Imitation_Learning_for_Fish_from_Real_Videos.pdf	https://dl.acm.org/doi/pdf/10.1145/3687904	26033234	1191710	26033234	3991286	gs-600dpi-q100; 3.81MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/JumpingGS_Level_jump_3D_Gaussian_Representation_for_Delicate_Textures_in_Aerial_Large_scale_Scene_Rendering.pdf	https://dl.acm.org/doi/pdf/10.1145/3763347	26031162	2233345	26031162	9275184	gs-600dpi-q100; 8.85MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Fast_Octree_Neighborhood_Search_for_SPH_Simulations.pdf	https://dl.acm.org/doi/pdf/10.1145/3550454.3555523	25894158	531510	25894158	1793856	gs-600dpi-q100; 1.71MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/MATStruct_High_quality_Medial_Mesh_Computation_via_Structure_aware_Variational_Optimization.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763840	25827197	2043695	25827197	8581598	gs-600dpi-q100; 8.18MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Implicit_Incompressible_Porous_Flow_using_SPH.pdf	https://dl.acm.org/doi/pdf/10.1145/3763325	25738478	1028101	25738478	14036703	gs-360dpi-q95; 13.39MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2024/A_Realistic_Multi_scale_Surface_based_Cloth_Appearance_Model.pdf	https://dl.acm.org/doi/pdf/10.1145/3641519.3657426	25605455	661150	25605455	3130181	gs-600dpi-q100; 2.99MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Jackknife_Transmittance_and_MIS_Weight_Estimation.pdf	https://dl.acm.org/doi/pdf/10.1145/3763273	25515145	1625377	25515145	8571161	gs-600dpi-q100; 8.17MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/OmniPart_Part_Aware_3D_Generation_with_Semantic_Decoupling_and_Structural_Cohesion.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763872	25364145	1187365	25364145	5840085	gs-600dpi-q100; 5.57MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/Geometric_Optimisation_via_Spectral_Shifting.pdf	https://dl.acm.org/doi/pdf/10.1145/3585003	25333687	1576368	25333687	10050490	gs-600dpi-q100; 9.58MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Topology_Aware_Optimization_of_Gaussian_Primitives_for_Human_Centric_Volumetric_Videos.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763975	25257273	747716	25257273	3574277	gs-600dpi-q100; 3.41MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2025/ViSA_Physics_based_Virtual_Stunt_Actors_for_Ballistic_Stunts.pdf	https://dl.acm.org/doi/pdf/10.1145/3731424	25200604	1007948	25200604	3254354	gs-600dpi-q100; 3.10MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/Locally_Attentional_SDF_Diffusion_for_Controllable_3D_Shape_Generation.pdf	https://dl.acm.org/doi/pdf/10.1145/3592103	25110367	1561382	25110367	5091853	gs-600dpi-q100; 4.86MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/FreeArt3D_Training_Free_Articulated_Object_Generation_using_3D_Diffusion.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763845	24812767	944830	24812767	2732176	gs-600dpi-q100; 2.61MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/Focal_Path_Guiding_for_Light_Transport_Simulation.pdf	https://dl.acm.org/doi/pdf/10.1145/3588432.3591543	24769635	873482	24769635	8084927	gs-600dpi-q100; 7.71MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2025/Offset_Geometric_Contact.pdf	https://dl.acm.org/doi/pdf/10.1145/3731205	24706524	1311347	24706524	12396717	gs-600dpi-q100; 11.82MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Teamwork_Collaborative_Diffusion_with_Low_rank_Coordination_and_Adaptation.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763870	24673022	1051887	24673022	5225577	gs-600dpi-q100; 4.98MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2025/Adaptive_Phase_Field_FLIP_for_Very_Large_Scale_Two_Phase_Fluid_Simulation.pdf	https://dl.acm.org/doi/pdf/10.1145/3730854	24497613	1220863	24497613	2959581	gs-600dpi-q100; 2.82MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2022/Node_Graph_Optimization_Using_Differentiable_Proxies.pdf	https://dl.acm.org/doi/pdf/10.1145/3528233.3530733	24444787	1167447	24444787	4823008	gs-600dpi-q100; 4.60MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/AvatarStudio_Text_driven_Editing_of_3D_Dynamic_Human_Head_Avatars.pdf	https://dl.acm.org/doi/pdf/10.1145/3618368	24284570	1385358	24284570	2027200	gs-600dpi-q100; 1.93MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/Image_Vectorization_and_Editing_via_Linear_Gradient_Layer_Decomposition.pdf	https://dl.acm.org/doi/pdf/10.1145/3592128	24245354	1722259	24245354	7916977	gs-600dpi-q100; 7.55MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Constructing_Diffusion_Avatar_with_Learnable_Embeddings.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763953	24171048	872629	24171048	3473593	gs-600dpi-q100; 3.31MiB	ok
download_invalid	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Controllable_Group_Choreography_using_Contrastive_Diffusion.pdf	https://dl.acm.org/doi/pdf/10.1145/3618356	24118493	1194103	22613668			"pdfinfo failed: Syntax Error: Couldn't find trailer dictionary
Syntax Error: Invalid XRef entry 1027
Syntax Error: Invalid XRef entry 1023
Syntax Error: Top-level pages object is wrong type (null)
Command Line Error: Wrong page range given: the first page (1) can not be after the last page (0)."
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Compositional_Neural_Textures.pdf	https://dl.acm.org/doi/pdf/10.1145/3680528.3687561	24026181	936294	24026181	2373168	gs-600dpi-q100; 2.26MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Lightweight_Neural_Basis_Functions_for_All_Frequency_Shading.pdf	https://dl.acm.org/doi/pdf/10.1145/3550469.3555386	23990447	648529	23990447	3727841	gs-600dpi-q100; 3.56MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2025/Designing_Pin_pression_Gripper_and_Learning_its_Dexterous_Grasping_with_Online_In_hand_Adjustment.pdf	https://dl.acm.org/doi/pdf/10.1145/3730880	23899507	1305113	23899507	8332246	gs-600dpi-q100; 7.95MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2025/UltraMeshRenderer_Efficient_Structure_and_Management_of_GPU_Out_of_core_Memory_for_Real_time_Rendering_of_Gigantic_3D_Meshes.pdf	https://dl.acm.org/doi/pdf/10.1145/3731186	23773650	1355336	23773650	5629407	gs-600dpi-q100; 5.37MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/From_Skin_to_Skeleton_Towards_Biomechanically_Accurate_3D_Digital_Humans.pdf	https://dl.acm.org/doi/pdf/10.1145/3618381	23733828	986677	23733828	2898520	gs-600dpi-q100; 2.76MiB	ok
