venue	paper_title	target_pdf_path	resolved_pdf_url	source_url
SIGGRAPH ASIA 2025	Learning Human Motion with Temporally Conditional Mamba	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Learning_Human_Motion_with_Temporally_Conditional_Mamba.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763948	https://doi.org/10.1145/3757377.3763948
SIGGRAPH ASIA 2025	Curve-Based Slicer for Multi-Axis DLP 3D Printing	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Curve_Based_Slicer_for_Multi_Axis_DLP_3D_Printing.pdf	https://dl.acm.org/doi/pdf/10.1145/3763352	https://doi.org/10.1145/3763352
SIGGRAPH ASIA 2025	INF-3DP: Implicit Neural Fields for Collision-Free Multi-Axis 3D Printing	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/INF_3DP_Implicit_Neural_Fields_for_Collision_Free_Multi_Axis_3D_Printing.pdf	https://dl.acm.org/doi/pdf/10.1145/3763354	https://doi.org/10.1145/3763354
SIGGRAPH ASIA 2025	Lightweight, Edge-Aware, and Temporally Consistent Supersampling for Mobile Real-Time Rendering	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Lightweight_Edge_Aware_and_Temporally_Consistent_Supersampling_for_Mobile_Real_Time_Rendering.pdf	https://dl.acm.org/doi/pdf/10.1145/3763348	https://doi.org/10.1145/3763348
SIGGRAPH ASIA 2025	Consecutive Frame Extrapolation with Predictive Sparse Shading	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Consecutive_Frame_Extrapolation_with_Predictive_Sparse_Shading.pdf	https://dl.acm.org/doi/pdf/10.1145/3763363	https://doi.org/10.1145/3763363
SIGGRAPH ASIA 2025	PatchEX: High-Quality Real-Time Temporal Supersampling through Patch-based Parallel Extrapolation	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/PatchEX_High_Quality_Real_Time_Temporal_Supersampling_through_Patch_based_Parallel_Extrapolation.pdf	https://dl.acm.org/doi/pdf/10.1145/3759247	https://doi.org/10.1145/3759247
SIGGRAPH ASIA 2025	LEGO-Maker: Autoregressive Image-Conditioned LEGO Model Creation	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/LEGO_Maker_Autoregressive_Image_Conditioned_LEGO_Model_Creation.pdf	https://dl.acm.org/doi/pdf/10.1145/3763285	https://doi.org/10.1145/3763285
SIGGRAPH ASIA 2025	Fabricable Discretized Ruled Surfaces	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Fabricable_Discretized_Ruled_Surfaces.pdf	https://dl.acm.org/doi/pdf/10.1145/3734519	https://doi.org/10.1145/3734519
SIGGRAPH ASIA 2025	Generating the Past, Present and Future from a Motion-Blurred Image	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Generating_the_Past_Present_and_Future_from_a_Motion_Blurred_Image.pdf	https://dl.acm.org/doi/pdf/10.1145/3763306	https://doi.org/10.1145/3763306
SIGGRAPH ASIA 2025	DSCombiner: Double Shrinkage for Combining Biased and Unbiased Monte Carlo Renderings	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/DSCombiner_Double_Shrinkage_for_Combining_Biased_and_Unbiased_Monte_Carlo_Renderings.pdf	https://dl.acm.org/doi/pdf/10.1145/3763315	https://doi.org/10.1145/3763315
