paper_list_line,venue,paper_title,doi,pdf_url,target_pdf_path,source_note
3382,SIGGRAPH 2025,AutoKeyframe: Autoregressive Keyframe Generation for Human Motion Synthesis and Editing,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/AutoKeyframe_Autoregressive_Keyframe_Generation_for_Human_Motion_Synthesis_and_Editing.pdf,acm_doi_queue
3358,SIGGRAPH 2025,A Polyhedral Construction of Empty Spheres in Discrete Distance Fields,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/A_Polyhedral_Construction_of_Empty_Spheres_in_Discrete_Distance_Fields.pdf,acm_doi_queue
3464,SIGGRAPH 2025,Escher Tile Deformation via Closed-Form Solution,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/Escher_Tile_Deformation_via_Closed_Form_Solution.pdf,acm_doi_queue
3580,SIGGRAPH 2025,Monte Carlo PDE simulation in participating media,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/Monte_Carlo_PDE_simulation_in_participating_media.pdf,acm_doi_queue
3595,SIGGRAPH 2025,OctGPT: Octree-based Multiscale Autoregressive Models for 3D Shape Generation,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/OctGPT_Octree_based_Multiscale_Autoregressive_Models_for_3D_Shape_Generation.pdf,acm_doi_queue
3628,SIGGRAPH 2025,PrimitiveAnything: Human-Crafted 3D Primitive Assembly Generation with Auto-Regressive transformer,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/PrimitiveAnything_Human_Crafted_3D_Primitive_Assembly_Generation_with_Auto_Regressive_transformer.pdf,acm_doi_queue
3639,SIGGRAPH 2025,ReStyle3D: Scene-Level Appearance Transfer with Semantic Correspondences,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/ReStyle3D_Scene_Level_Appearance_Transfer_with_Semantic_Correspondences.pdf,acm_doi_queue
3714,SIGGRAPH 2025,Uncertainty for SVBRDF Acquisition using Frequency Analysis,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/Uncertainty_for_SVBRDF_Acquisition_using_Frequency_Analysis.pdf,acm_doi_queue
3725,SIGGRAPH 2025,VirCHEW Reality: On-Face Kinesthetic Feedback for Enhancing Food-Intake Experience in Virtual Reality,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/VirCHEW_Reality_On_Face_Kinesthetic_Feedback_for_Enhancing_Food_Intake_Experience_in_Virtual_Reality.pdf,acm_doi_queue
3733,SIGGRAPH 2025,pOps: Photo-Inspired Diffusion Operators,10.1145/3721238,https://dl.acm.org/doi/pdf/10.1145/3721238,obsidian-vault/paperPDFs/SIGGRAPH_2025/pOps_Photo_Inspired_Diffusion_Operators.pdf,acm_doi_queue
