batch_id,root_id,subtopic_id,subtopic_label,paper_count,manifest_path
iclr26_benchmarks_datasets_evaluation__benchmark_eval__b001,benchmarks_datasets_evaluation,benchmark_eval,Benchmarks & Evaluation,25,_private/topic_priority/subtopic_batches/batches/iclr26_benchmarks_datasets_evaluation__benchmark_eval__b001.jsonl
iclr26_benchmarks_datasets_evaluation__benchmark_eval__b002,benchmarks_datasets_evaluation,benchmark_eval,Benchmarks & Evaluation,25,_private/topic_priority/subtopic_batches/batches/iclr26_benchmarks_datasets_evaluation__benchmark_eval__b002.jsonl
iclr26_benchmarks_datasets_evaluation__benchmark_eval__b003,benchmarks_datasets_evaluation,benchmark_eval,Benchmarks & Evaluation,12,_private/topic_priority/subtopic_batches/batches/iclr26_benchmarks_datasets_evaluation__benchmark_eval__b003.jsonl
iclr26_benchmarks_datasets_evaluation__datasets__b001,benchmarks_datasets_evaluation,datasets,Datasets,11,_private/topic_priority/subtopic_batches/batches/iclr26_benchmarks_datasets_evaluation__datasets__b001.jsonl
iclr26_benchmarks_datasets_evaluation__synthesis_annotation__b001,benchmarks_datasets_evaluation,synthesis_annotation,Data Synthesis & Annotation,1,_private/topic_priority/subtopic_batches/batches/iclr26_benchmarks_datasets_evaluation__synthesis_annotation__b001.jsonl
iclr26_generative_models_diffusion__algorithms__b001,generative_models_diffusion,algorithms,Algorithms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__algorithms__b001.jsonl
iclr26_generative_models_diffusion__algorithms__b002,generative_models_diffusion,algorithms,Algorithms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__algorithms__b002.jsonl
iclr26_generative_models_diffusion__algorithms__b003,generative_models_diffusion,algorithms,Algorithms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__algorithms__b003.jsonl
iclr26_generative_models_diffusion__algorithms__b004,generative_models_diffusion,algorithms,Algorithms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__algorithms__b004.jsonl
iclr26_generative_models_diffusion__algorithms__b005,generative_models_diffusion,algorithms,Algorithms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__algorithms__b005.jsonl
iclr26_generative_models_diffusion__algorithms__b006,generative_models_diffusion,algorithms,Algorithms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__algorithms__b006.jsonl
iclr26_generative_models_diffusion__attention_mechanisms__b001,generative_models_diffusion,attention_mechanisms,Attention Mechanisms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__attention_mechanisms__b001.jsonl
iclr26_generative_models_diffusion__attention_mechanisms__b002,generative_models_diffusion,attention_mechanisms,Attention Mechanisms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__attention_mechanisms__b002.jsonl
iclr26_generative_models_diffusion__attention_mechanisms__b003,generative_models_diffusion,attention_mechanisms,Attention Mechanisms,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__attention_mechanisms__b003.jsonl
iclr26_generative_models_diffusion__attention_mechanisms__b004,generative_models_diffusion,attention_mechanisms,Attention Mechanisms,3,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__attention_mechanisms__b004.jsonl
iclr26_generative_models_diffusion__diffusion_image_video__b001,generative_models_diffusion,diffusion_image_video,Diffusion for Image / Video Generation,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__diffusion_image_video__b001.jsonl
