baseline,family,n,fid_metric,fid_mean,best_fid,best_fid_layer,top1_mean,top2_mean,top3_mean,best_top1,best_top1_layer,best_top2,best_top2_layer,best_top3,best_top3_layer,matching_mean,diversity_mean,multimodality_mean,median_min,status
MotionCLR,baseline,2,FID,0.1268,0.1268,NA,0.4437,0.6435,0.7562,0.4437,NA,0.6435,NA,0.7562,NA,3.4182,8.4674,2.3566,7.34,complete
MotionCLR,SA,18,FID,0.2519,0.1134,2,0.4377,0.6400,0.7507,0.4450,5,0.6468,1,0.7616,11,3.4574,8.4290,2.3420,7.18,complete
MotionCLR,CA,18,FID,0.1383,0.1085,13,0.4400,0.6416,0.7538,0.4496,1,0.6517,1,0.7582,11,3.4350,8.4662,2.3750,7.30,complete
MotionCLR,CFG_SA,18,FID,0.1492,0.1114,3,0.4406,0.6424,0.7532,0.4446,1,0.6481,3,0.7578,5,3.4276,8.4758,2.3679,7.18,complete
MotionCLR,CFG_CA,18,FID,0.7025,0.1198,5,0.3793,0.5619,0.6662,0.4442,6,0.6455,16,0.7567,17,4.0675,8.3083,3.0028,7.36,complete
MotionGPT,baseline,1,FID,0.1945,0.1945,NA,0.3991,0.5724,0.6565,0.3991,NA,0.5724,NA,0.6565,NA,4.0338,9.4327,3.4791,3.98,complete
MotionGPT,SA,12,FID,0.2013,0.1708,8,0.4068,0.5731,0.6635,0.4155,6,0.5864,6,0.6718,3,3.9898,9.2320,3.4513,3.82,complete
MotionGPT,CA,12,FID,0.1954,0.1687,9,0.4041,0.5675,0.6580,0.4164,0,0.5780,0,0.6651,0,4.0390,9.2370,3.6001,3.82,complete
MotionGPT,CFG_SA,0,FID,,,NA,,,,,NA,,NA,,NA,,,,,unsupported
MotionGPT,CFG_CA,0,FID,,,NA,,,,,NA,,NA,,NA,,,,,unsupported
MoLingo,baseline,1,FID_TMR,3.5944,3.5944,NA,0.7755,0.9026,0.9402,0.7755,NA,0.9026,NA,0.9402,NA,14.7401,,,95.84,complete
MoLingo,SA,3,FID_TMR,3.8398,3.5085,5,0.7785,0.9027,0.9434,0.7819,10,0.9033,15,0.9453,10,14.6909,,,95.07,complete
MoLingo,CA,3,FID_TMR,3.7344,3.6528,10,0.7716,0.9018,0.9414,0.7749,10,0.9062,10,0.9446,10,14.8140,,,80.09,complete
MoLingo,CFG_SA,3,FID_TMR,3.9634,3.5982,5,0.7735,0.8988,0.9402,0.7771,10,0.9033,10,0.9443,10,14.7370,,,78.85,complete
MoLingo,CFG_CA,3,FID_TMR,5.0345,3.6466,10,0.7557,0.8901,0.9328,0.7755,5,0.9010,10,0.9418,10,15.0724,,,79.04,complete
