baseline,family,layer,fid_metric,fid,top1,top2,top3,matching,diversity,multimodality,metrics_summary
MotionCLR,CA,0,FID,0.1767,0.4364,0.6422,0.756,3.4288,8.5465,2.4392,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_0/metrics_summary.json
MotionCLR,CA,1,FID,0.1297,0.4496,0.6517,0.7526,3.4181,8.5532,2.3483,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_1/metrics_summary.json
MotionCLR,CA,2,FID,0.1174,0.4353,0.6407,0.7537,3.444,8.49,2.3806,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_2/metrics_summary.json
MotionCLR,CA,3,FID,0.1542,0.4399,0.6429,0.7547,3.4162,8.5467,2.3508,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_3/metrics_summary.json
MotionCLR,CA,4,FID,0.1285,0.4425,0.6444,0.758,3.4181,8.4711,2.3644,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_4/metrics_summary.json
MotionCLR,CA,5,FID,0.1268,0.4416,0.6442,0.7565,3.4189,8.4691,2.3549,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_5/metrics_summary.json
MotionCLR,CA,6,FID,0.127,0.4437,0.6431,0.7567,3.4176,8.4677,2.3577,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_6/metrics_summary.json
MotionCLR,CA,7,FID,0.1266,0.4422,0.6431,0.7571,3.4186,8.4672,2.3608,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_7/metrics_summary.json
MotionCLR,CA,8,FID,0.1264,0.4422,0.644,0.7556,3.4212,8.4703,2.357,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_8/metrics_summary.json
MotionCLR,CA,9,FID,0.1263,0.4429,0.6431,0.7562,3.4189,8.4665,2.3601,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_9/metrics_summary.json
MotionCLR,CA,10,FID,0.1296,0.4427,0.6422,0.7554,3.4242,8.4848,2.3648,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_10/metrics_summary.json
MotionCLR,CA,11,FID,0.1324,0.4416,0.6455,0.7582,3.4169,8.482,2.3656,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_11/metrics_summary.json
MotionCLR,CA,12,FID,0.1634,0.4263,0.6244,0.7399,3.5123,8.3207,2.4341,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_12/metrics_summary.json
MotionCLR,CA,13,FID,0.1085,0.4437,0.6427,0.7537,3.4136,8.4515,2.3516,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_13/metrics_summary.json
MotionCLR,CA,14,FID,0.1684,0.428,0.6306,0.742,3.551,8.3307,2.4382,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_14/metrics_summary.json
MotionCLR,CA,15,FID,0.1933,0.4351,0.6379,0.7481,3.4542,8.4349,2.4095,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_15/metrics_summary.json
MotionCLR,CA,16,FID,0.1265,0.4425,0.6435,0.7562,3.4191,8.4697,2.3566,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_16/metrics_summary.json
MotionCLR,CA,17,FID,0.1268,0.4437,0.6433,0.7573,3.4179,8.4684,2.3556,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/ca/layer_17/metrics_summary.json
MotionCLR,CFG_CA,0,FID,0.2484,0.4235,0.6295,0.7418,3.5132,8.4767,2.5699,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_0/metrics_summary.json
MotionCLR,CFG_CA,1,FID,0.3468,0.3948,0.5869,0.6991,3.701,8.4003,2.8977,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_1/metrics_summary.json
MotionCLR,CFG_CA,2,FID,0.2,0.4211,0.6231,0.7377,3.5322,8.536,2.4232,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_2/metrics_summary.json
MotionCLR,CFG_CA,3,FID,0.3195,0.4157,0.6177,0.7317,3.5739,8.6427,2.4486,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_3/metrics_summary.json
MotionCLR,CFG_CA,4,FID,0.1203,0.4375,0.6414,0.7562,3.4281,8.4273,2.3514,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_4/metrics_summary.json
MotionCLR,CFG_CA,5,FID,0.1198,0.4384,0.6446,0.7547,3.4277,8.4303,2.3525,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_5/metrics_summary.json
MotionCLR,CFG_CA,6,FID,0.1257,0.4442,0.6444,0.756,3.4193,8.4656,2.3589,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_6/metrics_summary.json
MotionCLR,CFG_CA,7,FID,0.1259,0.4442,0.6448,0.7565,3.419,8.4652,2.3567,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_7/metrics_summary.json
MotionCLR,CFG_CA,8,FID,0.1251,0.4405,0.6453,0.756,3.4221,8.4715,2.3608,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_8/metrics_summary.json
MotionCLR,CFG_CA,9,FID,0.1246,0.4416,0.6448,0.755,3.4244,8.4665,2.362,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_9/metrics_summary.json
