sample_id,num_frames,motion_feature_path,traj_path,intrinsics_path
2012_EP6Qb7rzBmA_00022_001_a,40,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2012_EP6Qb7rzBmA_00022_001_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2012_EP6Qb7rzBmA_00022_001_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2012_EP6Qb7rzBmA_00022_001_a.npy
2017_H1TQv3qA7PI_00018_001_a,76,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2017_H1TQv3qA7PI_00018_001_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2017_H1TQv3qA7PI_00018_001_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2017_H1TQv3qA7PI_00018_001_a.npy
2015_iL1JlXnbnt0_00000_000_a,40,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2015_iL1JlXnbnt0_00000_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2015_iL1JlXnbnt0_00000_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2015_iL1JlXnbnt0_00000_000_a.npy
2016_3l4Uuh_byns_00001_000_a,27,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2016_3l4Uuh_byns_00001_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2016_3l4Uuh_byns_00001_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2016_3l4Uuh_byns_00001_000_a.npy
2012_mjdgDECpWr4_00000_000_a,55,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2012_mjdgDECpWr4_00000_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2012_mjdgDECpWr4_00000_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2012_mjdgDECpWr4_00000_000_a.npy
2011_7_ip79SGVLo_00001_000_a,210,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2011_7_ip79SGVLo_00001_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2011_7_ip79SGVLo_00001_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2011_7_ip79SGVLo_00001_000_a.npy
2011_VjlGOec7RVU_00001_000_a,202,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2011_VjlGOec7RVU_00001_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2011_VjlGOec7RVU_00001_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2011_VjlGOec7RVU_00001_000_a.npy
2012_dOTGLArtfrQ_00009_000_a,45,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2012_dOTGLArtfrQ_00009_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2012_dOTGLArtfrQ_00009_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2012_dOTGLArtfrQ_00009_000_a.npy
2017_Sqnrzd0HCRY_00029_000_a,47,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2017_Sqnrzd0HCRY_00029_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2017_Sqnrzd0HCRY_00029_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2017_Sqnrzd0HCRY_00029_000_a.npy
2011_FM-wfXvcbAY_00000_000_a,40,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2011_FM-wfXvcbAY_00000_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2011_FM-wfXvcbAY_00000_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2011_FM-wfXvcbAY_00000_000_a.npy
2013_Tg3A7u83stA_00011_000_a,136,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2013_Tg3A7u83stA_00011_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2013_Tg3A7u83stA_00011_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2013_Tg3A7u83stA_00011_000_a.npy
2017_teoyewW1bUY_00002_001_a,206,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2017_teoyewW1bUY_00002_001_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2017_teoyewW1bUY_00002_001_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2017_teoyewW1bUY_00002_001_a.npy
2012_pFxOuE_0wqc_00005_000_a,129,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2012_pFxOuE_0wqc_00005_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2012_pFxOuE_0wqc_00005_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2012_pFxOuE_0wqc_00005_000_a.npy
2017_1NnwUUf3RMg_00014_000_a,140,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2017_1NnwUUf3RMg_00014_000_a.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2017_1NnwUUf3RMg_00014_000_a.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2017_1NnwUUf3RMg_00014_000_a.npy
2018_MYkSUEjYLc0_00032_001_b,158,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/smpl_rifke/2018_MYkSUEjYLc0_00032_001_b.npy,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/traj/2018_MYkSUEjYLc0_00032_001_b.txt,/data/public/ripemangobox/Motion/datasets/pulpmotion-data/intrinsics/2018_MYkSUEjYLc0_00032_001_b.npy
