state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,B,MCM LDM Arbitrary Motion Style Transfer with Multi condition Motion Latent Diffusion Model,CVPR 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/CVPR_2024/2024_MCM_LDM_Arbitrary_Motion_Style_Transfer_with_Multi_condition_Motion_Latent_Diffusion_Model.pdf
Downloaded,B,MoST Motion Style Transformer between Diverse Action Contents,CVPR 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/CVPR_2024/2024_MoST_Motion_Style_Transformer_between_Diverse_Action_Contents.pdf
Downloaded,B,AnyMoLe Any Character Motion In Betweening Leveraging Video Diffusion Models,CVPR 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/CVPR_2025/2025_AnyMoLe_Any_Character_Motion_In_Betweening_Leveraging_Video_Diffusion_Models.pdf
Downloaded,B,MixerMDM Learnable Composition of Human Motion Diffusion Models,CVPR 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/CVPR_2025/2025_MixerMDM_Learnable_Composition_of_Human_Motion_Diffusion_Models.pdf
Downloaded,B,MotionReFit Dynamic Motion Blending for Versatile Motion Editing,CVPR 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/CVPR_2025/2025_MotionReFit_Dynamic_Motion_Blending_for_Versatile_Motion_Editing.pdf
Downloaded,B,Visual Persona Foundation Model for Full Body Human Customization,CVPR 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/CVPR_2025/2025_Visual_Persona_Foundation_Model_for_Full_Body_Human_Customization.pdf
Downloaded,B,MotionEdit Benchmarking and Learning Motion Centric Image Editing,CVPR 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/CVPR_2026/2026_MotionEdit_Benchmarking_and_Learning_Motion_Centric_Image_Editing.pdf
Downloaded,B,HUMOS Human Motion Model Conditioned on Body Shape,ECCV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/ECCV_2024/2024_HUMOS_Human_Motion_Model_Conditioned_on_Body_Shape.pdf
Downloaded,B,StyleMotif Multi Modal Motion Stylization using Style Content Cross Fusion,ICCV 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/ICCV_2025/2025_StyleMotif_Multi_Modal_Motion_Stylization_using_Style_Content_Cross_Fusion.pdf
Downloaded,B,GenMoStyle Generative Human Motion Stylization in Latent Space,ICLR 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/ICLR_2024/2024_GenMoStyle_Generative_Human_Motion_Stylization_in_Latent_Space.pdf
Downloaded,B,CigTime Corrective Instruction Generation Through Inverse Motion Editing,NeurIPS 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/NeurIPS_2024/2024_CigTime_Corrective_Instruction_Generation_Through_Inverse_Motion_Editing.pdf
Downloaded,B,Portrait3D Text Guided High Quality 3D Portrait Generation Using Pyramid Representation and GANs Prior,SIGGRAPH 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/SIGGRAPH_2024/2024_Portrait3D_Text_Guided_High_Quality_3D_Portrait_Generation_Using_Pyramid_Representation_and_GANs_Prior.pdf
Downloaded,B,SMEAR Stylized Motion Exaggeration with ARt direction,SIGGRAPH 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Motion_Editing/SIGGRAPH_2024/2024_SMEAR_Stylized_Motion_Exaggeration_with_ARt_direction.pdf
Downloaded,B,DPoser X Diffusion Model as Robust 3D Whole body Human Pose Prior,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/arXiv_2025/2025_DPoser_X_Diffusion_Model_as_Robust_3D_Whole_body_Human_Pose_Prior.pdf
Downloaded,B,SAM Body4D Training Free 4D Human Body Mesh Recovery from Videos,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/arXiv_2025/2025_SAM_Body4D_Training_Free_4D_Human_Body_Mesh_Recovery_from_Videos.pdf
Downloaded,B,EMGFlow Robust and Efficient Surface Electromyography Synthesis via Flow Matching,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/arXiv_2026/2026_EMGFlow_Robust_and_Efficient_Surface_Electromyography_Synthesis_via_Flow_Matching.pdf
Downloaded,B,SAM 3D Body Robust Full Body Human Mesh Recovery,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/arXiv_2026/2026_SAM_3D_Body_Robust_Full_Body_Human_Mesh_Recovery.pdf
