case_index,model_label,sample_outcome,sample_id,frame_index,delta_l2
0,MotionGPT,success,hml_orig100_train_003__full,0,55.3646110189
0,MotionGPT,success,hml_orig100_train_003__full,1,549.7868787931
0,MotionGPT,success,hml_orig100_train_003__full,2,530.9456844600
0,MotionGPT,success,hml_orig100_train_003__full,3,646.5630616695
0,MotionGPT,success,hml_orig100_train_003__full,4,722.5787264340
0,MotionGPT,success,hml_orig100_train_003__full,5,847.0651166591
1,MotionGPT,failure,hml_orig100_train_037__full,0,10.4622776664
1,MotionGPT,failure,hml_orig100_train_037__full,1,298.0683663981
1,MotionGPT,failure,hml_orig100_train_037__full,2,226.8037834421
1,MotionGPT,failure,hml_orig100_train_037__full,3,190.1583673841
1,MotionGPT,failure,hml_orig100_train_037__full,4,204.2933574319
1,MotionGPT,failure,hml_orig100_train_037__full,5,174.7971164237
2,MoLingo,success,hml_orig100_train_003__full,0,28.8014350259
2,MoLingo,success,hml_orig100_train_003__full,1,30.0790464887
2,MoLingo,success,hml_orig100_train_003__full,2,30.7456850933
2,MoLingo,success,hml_orig100_train_003__full,3,31.5219461726
2,MoLingo,success,hml_orig100_train_003__full,4,32.0068953811
2,MoLingo,success,hml_orig100_train_003__full,5,32.4444718281
2,MoLingo,success,hml_orig100_train_003__full,6,32.8722091220
2,MoLingo,success,hml_orig100_train_003__full,7,33.1608099919
2,MoLingo,success,hml_orig100_train_003__full,8,33.2820551535
2,MoLingo,success,hml_orig100_train_003__full,9,33.3452516975
2,MoLingo,success,hml_orig100_train_003__full,10,33.3889494826
2,MoLingo,success,hml_orig100_train_003__full,11,33.4470304839
2,MoLingo,success,hml_orig100_train_003__full,12,33.5057953132
2,MoLingo,success,hml_orig100_train_003__full,13,33.5375659503
2,MoLingo,success,hml_orig100_train_003__full,14,33.4944656634
2,MoLingo,success,hml_orig100_train_003__full,15,33.3193233430
2,MoLingo,success,hml_orig100_train_003__full,16,33.0863976121
2,MoLingo,success,hml_orig100_train_003__full,17,32.8089663428
2,MoLingo,success,hml_orig100_train_003__full,18,32.4878255684
2,MoLingo,success,hml_orig100_train_003__full,19,32.1863295772
2,MoLingo,success,hml_orig100_train_003__full,20,31.8284873914
2,MoLingo,success,hml_orig100_train_003__full,21,31.4065474585
2,MoLingo,success,hml_orig100_train_003__full,22,31.0927375196
2,MoLingo,success,hml_orig100_train_003__full,23,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,24,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,25,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,26,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,27,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,28,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,29,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,30,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,31,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,32,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,33,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,34,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,35,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,36,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,37,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,38,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,39,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,40,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,41,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,42,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,43,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,44,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,45,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,46,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,47,0.0000000000
2,MoLingo,success,hml_orig100_train_003__full,48,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,0,38.1722252883
3,MoLingo,failure,hml_orig100_train_002__full,1,39.2144727560
3,MoLingo,failure,hml_orig100_train_002__full,2,40.0030039068
3,MoLingo,failure,hml_orig100_train_002__full,3,40.8331211210
3,MoLingo,failure,hml_orig100_train_002__full,4,41.1220186558
3,MoLingo,failure,hml_orig100_train_002__full,5,41.3468229883
3,MoLingo,failure,hml_orig100_train_002__full,6,41.5344718054
3,MoLingo,failure,hml_orig100_train_002__full,7,41.7079659811
3,MoLingo,failure,hml_orig100_train_002__full,8,41.8627523848
3,MoLingo,failure,hml_orig100_train_002__full,9,41.9900944536
3,MoLingo,failure,hml_orig100_train_002__full,10,42.0758981971
3,MoLingo,failure,hml_orig100_train_002__full,11,42.1277617200
3,MoLingo,failure,hml_orig100_train_002__full,12,42.1581748802
3,MoLingo,failure,hml_orig100_train_002__full,13,42.1712858823
3,MoLingo,failure,hml_orig100_train_002__full,14,42.1741541438
3,MoLingo,failure,hml_orig100_train_002__full,15,42.1775304471
3,MoLingo,failure,hml_orig100_train_002__full,16,42.1876324493
3,MoLingo,failure,hml_orig100_train_002__full,17,42.2004273777
3,MoLingo,failure,hml_orig100_train_002__full,18,42.2059987123
3,MoLingo,failure,hml_orig100_train_002__full,19,42.2028205579
3,MoLingo,failure,hml_orig100_train_002__full,20,42.1915843292
3,MoLingo,failure,hml_orig100_train_002__full,21,42.1728162107
3,MoLingo,failure,hml_orig100_train_002__full,22,42.1420623736
3,MoLingo,failure,hml_orig100_train_002__full,23,42.0959549073
3,MoLingo,failure,hml_orig100_train_002__full,24,42.0388719794
3,MoLingo,failure,hml_orig100_train_002__full,25,41.9684877280
3,MoLingo,failure,hml_orig100_train_002__full,26,41.8696827565
3,MoLingo,failure,hml_orig100_train_002__full,27,41.7318301925
3,MoLingo,failure,hml_orig100_train_002__full,28,41.5573580960
3,MoLingo,failure,hml_orig100_train_002__full,29,41.3360949915
3,MoLingo,failure,hml_orig100_train_002__full,30,41.0874871357
3,MoLingo,failure,hml_orig100_train_002__full,31,40.7995982077
3,MoLingo,failure,hml_orig100_train_002__full,32,40.4890605532
3,MoLingo,failure,hml_orig100_train_002__full,33,40.1436717171
3,MoLingo,failure,hml_orig100_train_002__full,34,39.6888765037
3,MoLingo,failure,hml_orig100_train_002__full,35,39.2687936871
3,MoLingo,failure,hml_orig100_train_002__full,36,38.9369667390
3,MoLingo,failure,hml_orig100_train_002__full,37,38.6541092830
3,MoLingo,failure,hml_orig100_train_002__full,38,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,39,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,40,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,41,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,42,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,43,0.0000000000
