run_id,model,outcome,sample_id,f_name,f_space,z_kind,axis_names,delta_shape,metric_value,delta_abs_max,delta_mean,delta_std,valid_ratio,outcome_bin,delta_numel,delta_ndim,baseline,annotation_key,annotation_found,annotation_is_problem,problem_description,prompt_text,primary_bucket,secondary_buckets,source_split,annotation_role,annotation_updated,failure_factor,annotation_trace_consistent
20260528_000000_motiongpt_success_002_sample_trace,MotionGPT,success,hml_orig100_train_003__full,token_logits,motion_vocab_logits_slice,decoder_prefix,"['batch', 'decoder_step', 'motion_vocab']","[1, 6, 514]",0.7941056605058484,45.73373031616211,8.792346954345703,25.507225036621094,1.0,0,3084,3,motiongpt,hml_orig100_train_003__full::motiongpt,True,False,,a person jogs straight forward.,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:08,,True
20260528_000001_motiongpt_failure_036_sample_trace,MotionGPT,failure,hml_orig100_train_037__full,token_logits,motion_vocab_logits_slice,decoder_prefix,"['batch', 'decoder_step', 'motion_vocab']","[1, 6, 514]",0.2643880747477472,37.83721923828125,7.340646743774414,5.17722749710083,1.0,1,3084,3,motiongpt,hml_orig100_train_037__full::motiongpt,True,True,没完成whell-like spin kick，只是简单的kick,"a person does a quick wheel-like spin kick with left leg, pivoting on right leg while both arms resume fighting gesture.",jump_kick,,train,human_diagnostic_problem_description,2026-05-26T23:09:38,,True
20260528_000002_molingo_success_002_sample_trace,MoLingo,success,hml_orig100_train_003__full,hidden_state,latent_transformer_z,latent_ar_state,"['batch', 'latent_token', 'hidden_dim']","[1, 49, 1024]",0.987844906649433,3.896975517272949,1.1192259080416989e-05,0.6929261088371277,0.46938775510204084,0,50176,3,molingo,hml_orig100_train_003__full::molingo,True,False,,a person jogs straight forward.,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:08,,True
20260528_000003_molingo_failure_001_sample_trace,MoLingo,failure,hml_orig100_train_002__full,hidden_state,latent_transformer_z,latent_ar_state,"['batch', 'latent_token', 'hidden_dim']","[1, 49, 1024]",1.2602659362039805,4.990898609161377,0.00036773044848814607,1.1357347965240479,0.7755102040816326,1,50176,3,molingo,hml_orig100_train_002__full::molingo,True,True,没有走完一圈,a person looking to their right walks in a tight circle while continuing to face the same direction. they look to be slightly off balance,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:06,,True
20260528_000004_momask_original_success_002_sample_trace,MoMask original,success,hml_orig100_train_003__full,token_logits,vocab_logits,mask_iteration,"['batch', 'token_time', 'codebook']","[1, 23, 512]",1.0838708620536364,44.199668884277344,-1.5528753995895386,12.625201225280762,1.0,0,11776,3,momask_original,hml_orig100_train_003__full::momask_original,True,False,,a person jogs straight forward.,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:08,,True
20260528_000005_momask_original_failure_000_sample_trace,MoMask original,failure,hml_orig100_train_001__full,token_logits,vocab_logits,mask_iteration,"['batch', 'token_time', 'codebook']","[1, 21, 512]",1.1718000394320605,59.18845748901367,4.103986740112305,13.648358345031738,1.0,1,10752,3,momask_original,hml_orig100_train_001__full::momask_original,True,True,foot sliding严重,a person slides from side to side 2 times then takes off running while looking forward the whole time,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:04,,True
20260528_000006_mogents_success_002_sample_trace,MoGenTS,success,hml_orig100_train_003__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 23, 6, 256]",0.8485283671855309,52.896148681640625,3.0518386363983154,13.054450035095215,1.0,0,35328,4,mogents,hml_orig100_train_003__full::mogents,True,False,,a person jogs straight forward.,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:08,,True
20260528_000007_mogents_failure_001_sample_trace,MoGenTS,failure,hml_orig100_train_002__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 38, 6, 256]",1.3833097081009296,64.71882629394531,-3.504451036453247,14.15237808227539,1.0,1,58368,4,mogents,hml_orig100_train_002__full::mogents,True,True,没有走完一圈,a person looking to their right walks in a tight circle while continuing to face the same direction. they look to be slightly off balance,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:06,,True
20260528_182842_mogents_failure_005_sample_trace,MoGenTS,failure,hml_orig100_train_006__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.1994739506981524,57.13695526123047,-2.221524715423584,13.213212013244629,1.0,1,75264,4,mogents,hml_orig100_train_006__full::mogents,True,True,左手拿,"a person picks up a cloth/sponge with their right hand, then walks over to an object, lifts it with their left hand and washes/wipes it with the cloth.",simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:11,,True
20260528_182842_mogents_failure_010_sample_trace,MoGenTS,failure,hml_orig100_train_011__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.664222771046901,74.70185852050781,8.656362533569336,16.45174217224121,1.0,1,75264,4,mogents,hml_orig100_train_011__full::mogents,True,True,滑步严重，没有逆时针旋转,someone with outstretched arms spins counterclockwise,direction_turn,,train,human_diagnostic_problem_description,2026-05-28T18:24:18,,True
