model,factor_primary,count
MoGenTS,wrong_limb_or_side,7
MoGenTS,missing_subaction,5
MoGenTS,wrong_trajectory_or_path,4
MoGenTS,overgeneration_or_extra_motion,2
MoGenTS,orientation_or_facing_error,1
MoGenTS,pose_or_contact_artifact,1
MoGenTS,timing_or_duration_error,1
MoLingo,wrong_limb_or_side,6
MoLingo,pose_or_contact_artifact,2
MoLingo,timing_or_duration_error,2
MoLingo,wrong_trajectory_or_path,2
MoMask original,wrong_limb_or_side,7
MoMask original,missing_subaction,5
MoMask original,wrong_trajectory_or_path,3
MoMask original,pose_or_contact_artifact,2
MoMask original,timing_or_duration_error,2
MoMask original,orientation_or_facing_error,1
MoMask original,overgeneration_or_extra_motion,1
MoMask original,semantic_mismatch,1
MoMask original,wrong_action,1
MotionGPT,wrong_limb_or_side,7
MotionGPT,missing_subaction,3
MotionGPT,wrong_trajectory_or_path,2
MotionGPT,timing_or_duration_error,1
MotionGPT,wrong_action,1
