scope,feature,metric,n,pearson_r,p
pooled,prompt_length,metric_value,400,0.10910790257804469,0.0291208631992963
pooled,prompt_length,delta_abs_max,400,0.041328623386466826,0.40974755589503814
pooled,prompt_length,delta_std,400,-0.028575904980858324,0.5687822104969316
pooled,prompt_length,delta_mean,400,-0.05840846162983716,0.24381314498656667
pooled,prompt_word_count,metric_value,400,0.10613774419132671,0.03382856612438398
pooled,prompt_word_count,delta_abs_max,400,0.04912384294628392,0.32708910352696663
pooled,prompt_word_count,delta_std,400,-0.015216758570477806,0.7615848008720709
pooled,prompt_word_count,delta_mean,400,-0.08457990374690433,0.09115573908658961
pooled,n_sub_actions,metric_value,400,0.09723810105232435,0.05198195808065723
pooled,n_sub_actions,delta_abs_max,400,0.04612077414040732,0.35756312553955355
pooled,n_sub_actions,delta_std,400,0.003801225936150645,0.9395886594967139
pooled,n_sub_actions,delta_mean,400,-0.12479986555223596,0.012491059955715015
pooled,temporal_complexity,metric_value,400,0.060077925097753046,0.23057407060772017
pooled,temporal_complexity,delta_abs_max,400,0.017125357193335126,0.7327570796701048
pooled,temporal_complexity,delta_std,400,-0.015267615511213035,0.7608121575438428
pooled,temporal_complexity,delta_mean,400,-0.012325209307834324,0.8058818914542835
MoGenTS,prompt_length,metric_value,100,0.16220018088543503,0.1068955545480141
MoGenTS,prompt_length,delta_abs_max,100,0.039193022606746515,0.6986440508569871
MoGenTS,prompt_length,delta_std,100,-0.051691907113421524,0.6095178643287122
MoGenTS,prompt_length,delta_mean,100,-0.08641597340861021,0.39260879996847436
MoGenTS,prompt_word_count,metric_value,100,0.15509385394292613,0.12337070285210235
MoGenTS,prompt_word_count,delta_abs_max,100,0.04516905778895967,0.6554241945236734
MoGenTS,prompt_word_count,delta_std,100,-0.015844885782449566,0.8756652684016383
MoGenTS,prompt_word_count,delta_mean,100,-0.10006628004117914,0.32189512429350425
MoGenTS,n_sub_actions,metric_value,100,0.17715087747101912,0.07786500574757484
MoGenTS,n_sub_actions,delta_abs_max,100,0.04705669499140319,0.6419970263144927
MoGenTS,n_sub_actions,delta_std,100,0.055006825633925435,0.5867413032815191
MoGenTS,n_sub_actions,delta_mean,100,-0.17857795335667942,0.07546197267974628
MoGenTS,temporal_complexity,metric_value,100,0.16528677130654537,0.10029779298450456
MoGenTS,temporal_complexity,delta_abs_max,100,0.12173204998888669,0.22762144023152736
MoGenTS,temporal_complexity,delta_std,100,0.06458568065205755,0.5232108467931269
MoGenTS,temporal_complexity,delta_mean,100,-0.035486911651303514,0.7259500075136097
MoLingo,prompt_length,metric_value,100,0.4527430769696217,2.25168284558694e-06
MoLingo,prompt_length,delta_abs_max,100,0.3749500594820114,0.00012125829501206196
MoLingo,prompt_length,delta_std,100,0.416708891866055,1.613755918165815e-05
MoLingo,prompt_length,delta_mean,100,0.10008959238397688,0.3217818341467754
MoLingo,prompt_word_count,metric_value,100,0.4232947037747597,1.1447817544048588e-05
MoLingo,prompt_word_count,delta_abs_max,100,0.33756615409109336,0.0005933900159279596
MoLingo,prompt_word_count,delta_std,100,0.37600114932515816,0.00011563193278098371
MoLingo,prompt_word_count,delta_mean,100,0.0832865168074717,0.4100380692510951
MoLingo,n_sub_actions,metric_value,100,0.280883643911892,0.004643956478415733
MoLingo,n_sub_actions,delta_abs_max,100,0.2326275168315484,0.01985497588629545
MoLingo,n_sub_actions,delta_std,100,0.22940166884700713,0.021682544108782575
MoLingo,n_sub_actions,delta_mean,100,0.01452443246744397,0.885953913421597
MoLingo,temporal_complexity,metric_value,100,0.09880627473997029,0.32805644717906857
MoLingo,temporal_complexity,delta_abs_max,100,0.07692059809094125,0.44685830711663865
MoLingo,temporal_complexity,delta_std,100,0.0904880190707731,0.370604177185769
MoLingo,temporal_complexity,delta_mean,100,0.06464807010985774,0.5228087463977954
MoMask original,prompt_length,metric_value,100,0.27923799687160034,0.004901046676667542
MoMask original,prompt_length,delta_abs_max,100,0.2683592110533138,0.006943119043681228
MoMask original,prompt_length,delta_std,100,0.18285964734344645,0.06860792940192803
MoMask original,prompt_length,delta_mean,100,-0.00864071862713473,0.9320050718737688
MoMask original,prompt_word_count,metric_value,100,0.25020816383089733,0.012049354470892573
MoMask original,prompt_word_count,delta_abs_max,100,0.2786153306809009,0.005001579837198607
MoMask original,prompt_word_count,delta_std,100,0.20690781185203683,0.038878346468018014
MoMask original,prompt_word_count,delta_mean,100,-0.036291231507745395,0.7199933124746548
MoMask original,n_sub_actions,metric_value,100,0.19894411304006118,0.0472211457548824
MoMask original,n_sub_actions,delta_abs_max,100,0.24268665809239084,0.0149808033540574
MoMask original,n_sub_actions,delta_std,100,0.2351428807312321,0.018523323635613955
MoMask original,n_sub_actions,delta_mean,100,-0.05072379009127478,0.6162419990748059
MoMask original,temporal_complexity,metric_value,100,0.20729416554755425,0.038507168406650215
MoMask original,temporal_complexity,delta_abs_max,100,0.20209330510567905,0.043760122568889226
MoMask original,temporal_complexity,delta_std,100,0.2706047766111768,0.006468669949892544
MoMask original,temporal_complexity,delta_mean,100,-0.04435895785672563,0.6612207388152826
MotionGPT,prompt_length,metric_value,100,-0.09547065987950185,0.3447282862474346
MotionGPT,prompt_length,delta_abs_max,100,0.07940198518823234,0.4322905849952924
MotionGPT,prompt_length,delta_std,100,-0.15153355932631699,0.13232680011149756
MotionGPT,prompt_length,delta_mean,100,-0.10013382154572527,0.3215669657371518
MotionGPT,prompt_word_count,metric_value,100,-0.06341753244839118,0.5307683142713966
MotionGPT,prompt_word_count,delta_abs_max,100,0.11004464569300426,0.2757460879549947
MotionGPT,prompt_word_count,delta_std,100,-0.11390059886263028,0.2591668856817257
MotionGPT,prompt_word_count,delta_mean,100,-0.1451139194333481,0.14971697448387838
MotionGPT,n_sub_actions,metric_value,100,-0.03407793998832482,0.7364239248914124
MotionGPT,n_sub_actions,delta_abs_max,100,0.10800633837378205,0.2847917966564244
MotionGPT,n_sub_actions,delta_std,100,-0.06471662244770351,0.5223671064520939
MotionGPT,n_sub_actions,delta_mean,100,-0.1999130832765057,0.046132879364858596
MotionGPT,temporal_complexity,metric_value,100,-0.1331561754720888,0.1865979602137059
MotionGPT,temporal_complexity,delta_abs_max,100,-0.0622599034833779,0.5383111555219073
MotionGPT,temporal_complexity,delta_std,100,-0.15256943218575653,0.12967133987410817
MotionGPT,temporal_complexity,delta_mean,100,0.010195915401103045,0.9198045847149188
