date	experiment_path	evaluator	protocol	data_source	condition_pair	prompt_pair	n/evaluable	coverage	role	used_for	limitations	sample_id	event_id	event_order	event_count	target_dimension	short_label	full_prompt	single_event_prompt	cosine_similarity	cosine_distance	l2_distance	source_models	source_evaluators
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_1_gesture_clap	p1evt_1_gesture_clap__event_01	1	1	upper_body_gesture	上肢手势	a person clapping their hands	a person clapping their hands.	0.995588	0.004412	0.884875	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_1_locomotion_walk	p1evt_1_locomotion_walk__event_01	1	1	locomotion_path	移动路径	a man walking straight.	a man walking straight.	1.000000	-0.000000	0.000000	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_2_walk_turn	p1evt_2_walk_turn__event_01	1	2	locomotion_path	移动路径	the person is walking forward then turning around.	the person is walking forward.	0.968901	0.031099	2.555894	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_2_walk_turn	p1evt_2_walk_turn__event_02	2	2	direction_change	转向	the person is walking forward then turning around.	the person is turning around.	0.942717	0.057283	3.732792	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_2_walk_stop	p1evt_2_walk_stop__event_01	1	2	locomotion	移动	a person walks, then stops.	a person walks.	0.959707	0.040293	3.047373	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_2_walk_stop	p1evt_2_walk_stop__event_02	2	2	stop_go	停走	a person walks, then stops.	a person stops.	0.947340	0.052660	3.489051	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_01	1	3	direction_path	方向路径	a person takes a few steps, squats twice, then turns and walks back.	a person takes a few steps.	0.902485	0.097515	4.761613	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_02	2	3	count_duration	次数时长	a person takes a few steps, squats twice, then turns and walks back.	a person squats twice.	0.906001	0.093999	4.326427	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_03	3	3	order_transition	顺序转换	a person takes a few steps, squats twice, then turns and walks back.	a person turns and walks back.	0.908451	0.091549	4.401170	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_collapsed_by_sample_event	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	30/30 unique decomposed events	10/10 samples；从 60 条模型标签重复行 折叠为 30 个 unique events；模型标签为 mogents,momask。	diagnostic	observation	仅为 CLIP 文本嵌入相似度；MoMask/MoGenTS 重复文本侧行按 (sample_id, event_id) 折叠；不是生成器传递、运动正确性或最终评估器证据。	p1evt_3_forward_back_forward	p1evt_3_forward_back_forward__event_01	1	3	count_direction	次数方向	a person takes three steps forward, then takes one step back, and then continues walking forward.	a person takes three steps forward.	0.937756	0.062244	3.826328	mogents,momask	mogents_clip/ViT-B/32_text_embedding_similarity;momask_clip/ViT-B/32_text_embedding_similarity
