date	experiment_path	evaluator	protocol	data_source	condition_pair	prompt_pair	n/evaluable	coverage	role	used_for	limitations	event_count	event_order	target_dimension	n_unique_events	mean_cosine_similarity	std_cosine_similarity	mean_cosine_distance	std_cosine_distance	min_cosine_distance	max_cosine_distance
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	1	1	locomotion_path	1	1.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	1	1	upper_body_gesture	1	0.995588	0.000000	0.004412	0.000000	0.004412	0.004412
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	2	1	locomotion	1	0.959707	0.000000	0.040293	0.000000	0.040293	0.040293
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	2	1	locomotion_path	1	0.968901	0.000000	0.031099	0.000000	0.031099	0.031099
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	2	2	direction_change	1	0.942717	0.000000	0.057283	0.000000	0.057283	0.057283
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	2	2	stop_go	1	0.947340	0.000000	0.052660	0.000000	0.052660	0.052660
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	3	1	count_direction	1	0.937756	0.000000	0.062244	0.000000	0.062244	0.062244
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	3	1	direction_path	1	0.902485	0.000000	0.097515	0.000000	0.097515	0.097515
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	3	2	count_duration	1	0.906001	0.000000	0.093999	0.000000	0.093999	0.093999
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	3	2	direction_path	1	0.921093	0.000000	0.078907	0.000000	0.078907	0.078907
