date	experiment_path	evaluator	protocol	data_source	condition_pair	prompt_pair	n/evaluable	coverage	role	used_for	limitations	encoder_alias	encoder_label	event_count	n_pairs	finite_pairs	mean_cosine_distance
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	clip_vit_b32	CLIP ViT-B/32	1	2	2	0.002206
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	clip_vit_b32	CLIP ViT-B/32	2	4	4	0.045334
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	clip_vit_b32	CLIP ViT-B/32	3	6	6	0.080050
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	clip_vit_b32	CLIP ViT-B/32	4	8	8	0.101667
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	clip_vit_b32	CLIP ViT-B/32	5	10	10	0.122320
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	distilbert_base_uncased_mean	DistilBERT	1	2	2	0.017783
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	distilbert_base_uncased_mean	DistilBERT	2	4	4	0.070770
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	distilbert_base_uncased_mean	DistilBERT	3	6	6	0.132286
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	distilbert_base_uncased_mean	DistilBERT	4	8	8	0.163325
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	distilbert_base_uncased_mean	DistilBERT	5	10	10	0.176097
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	flan_t5_base_mean	FLAN-T5 base	1	2	2	0.028387
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_p1_event_count_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate/p1_full_single_embedding_similarity_all.tsv	not_applicable	full/single_event	见同目录 compact TSV 与 run_summary.json	Mean P1 full-vs-single cosine distance by encoder and event_count.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	flan_t5_base_mean	FLAN-T5 base	2	4	4	0.114269
