updated,model,prompt_id,base_id,category,condition,label,description,prompt,video_path,native_output_path,trace_summary_path,role,limitations
2026-05-11T18:21:57,eventt2m,m0v2_frequency_001__drop,m0v2_frequency_001,frequency,drop,OK,,a person jumps once and then waves one hand,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/016_m0v2_frequency_001__drop.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/016_m0v2_frequency_001__drop.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,eventt2m,m0v2_frequency_001__full,m0v2_frequency_001,frequency,full,OK,,a person jumps twice and then waves one hand,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/015_m0v2_frequency_001__full.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/015_m0v2_frequency_001__full.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,eventt2m,m0v2_frequency_001__repeat,m0v2_frequency_001,frequency,repeat,OK,,a person jumps three times and then waves one hand,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/019_m0v2_frequency_001__repeat.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/019_m0v2_frequency_001__repeat.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,eventt2m,m0v2_frequency_001__replace,m0v2_frequency_001,frequency,replace,OK,,a person kicks twice and then waves one hand,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/017_m0v2_frequency_001__replace.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/017_m0v2_frequency_001__replace.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,eventt2m,m0v2_frequency_001__shuffle,m0v2_frequency_001,frequency,shuffle,OK,,a person waves one hand and then jumps twice,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/018_m0v2_frequency_001__shuffle.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/018_m0v2_frequency_001__shuffle.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,eventt2m,m0v2_omission_order_001__drop,m0v2_omission_order_001,omission_order,drop,OK,,"a person walks forward, then sits down",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/001_m0v2_omission_order_001__drop.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/001_m0v2_omission_order_001__drop.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,eventt2m,m0v2_omission_order_001__full,m0v2_omission_order_001,omission_order,full,OK,,"a person walks forward, turns left, then sits down",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/000_m0v2_omission_order_001__full.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/000_m0v2_omission_order_001__full.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,eventt2m,m0v2_omission_order_001__repeat,m0v2_omission_order_001,omission_order,repeat,OK,,"a person walks forward, turns left twice, then sits down",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/004_m0v2_omission_order_001__repeat.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/004_m0v2_omission_order_001__repeat.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,eventt2m,m0v2_omission_order_001__replace,m0v2_omission_order_001,omission_order,replace,OK,,"a person walks forward, turns right, then sits down",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/002_m0v2_omission_order_001__replace.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/002_m0v2_omission_order_001__replace.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,eventt2m,m0v2_omission_order_001__shuffle,m0v2_omission_order_001,omission_order,shuffle,OK,,"a person sits down, turns left, then walks forward",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/003_m0v2_omission_order_001__shuffle.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/003_m0v2_omission_order_001__shuffle.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
