updated,model,prompt_id,base_id,category,condition,label,description,prompt,video_path,native_output_path,trace_summary_path,role,limitations
2026-05-10T23:05:16,mogents,m0gt_long_horizon_001__drop,m0gt_long_horizon_001,long_horizon,drop,OK,,"a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six steps, then stops and resumes his original position.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six st/sample1_repeat0_len148.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six st/sample1_repeat0_len148.npy",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/results/mogents/traces/m0gt_long_horizon_001__drop/summary.json,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:16,mogents,m0gt_long_horizon_001__full,m0gt_long_horizon_001,long_horizon,full,OK,,"a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six steps, turns 180 degrees and jogs four steps, then stops and resumes his original position.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six st/sample0_repeat0_len148.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six st/sample0_repeat0_len148.npy",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/results/mogents/traces/m0gt_long_horizon_001__full/summary.json,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:16,mogents,m0gt_long_horizon_001__repeat,m0gt_long_horizon_001,long_horizon,repeat,OK,,"a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six steps, turns 180 degrees and jogs six steps, then stops and resumes his original position.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six st/sample4_repeat0_len148.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six st/sample4_repeat0_len148.npy",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/results/mogents/traces/m0gt_long_horizon_001__repeat/summary.json,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:16,mogents,m0gt_long_horizon_001__replace,m0gt_long_horizon_001,long_horizon,replace,OK,,"a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six steps, turns 90 degrees and jogs four steps, then stops and resumes his original position.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six st/sample2_repeat0_len148.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six st/sample2_repeat0_len148.npy",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/results/mogents/traces/m0gt_long_horizon_001__replace/summary.json,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:16,mogents,m0gt_long_horizon_001__shuffle,m0gt_long_horizon_001,long_horizon,shuffle,OK,,"a person who is standing with his hands by his sides, jogs forward six steps, turns and steps backwards, turns 180 degrees and jogs four steps, then stops and resumes his original position.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person who is standing with his hands by his sides, jogs forward six steps, turns and steps backwa/sample3_repeat0_len148.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person who is standing with his hands by his sides, jogs forward six steps, turns and steps backwa/sample3_repeat0_len148.npy",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/results/mogents/traces/m0gt_long_horizon_001__shuffle/summary.json,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:21,mogents,m0gt_object_sequence_001__drop,m0gt_object_sequence_001,long_horizon,drop,OK,,"a person walks forward and takes a couple steps, and then turns around and walks back. then bends down and looks like it sets something down.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person walks forward and takes a couple steps, and then turns around and walks back. then bends do/sample6_repeat0_len196.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person walks forward and takes a couple steps, and then turns around and walks back. then bends do/sample6_repeat0_len196.npy",,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:21,mogents,m0gt_object_sequence_001__full,m0gt_object_sequence_001,long_horizon,full,OK,,"a person walks forward and takes a couple steps then bends down and picks something up, and then turns around and walks back. then bends down and looks like it sets something down.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person walks forward and takes a couple steps then bends down and picks something up, and then tur/sample5_repeat0_len196.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person walks forward and takes a couple steps then bends down and picks something up, and then tur/sample5_repeat0_len196.npy",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/results/mogents/traces/m0gt_object_sequence_001__full/summary.json,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:21,mogents,m0gt_object_sequence_001__repeat,m0gt_object_sequence_001,long_horizon,repeat,OK,,"a person walks forward and takes a couple steps then bends down and picks something up twice, and then turns around and walks back. then bends down and looks like it sets something down.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person walks forward and takes a couple steps then bends down and picks something up twice, and th/sample9_repeat0_len196.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person walks forward and takes a couple steps then bends down and picks something up twice, and th/sample9_repeat0_len196.npy",,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:21,mogents,m0gt_object_sequence_001__replace,m0gt_object_sequence_001,long_horizon,replace,OK,,"a person walks forward and takes a couple steps then bends down and puts something down, and then turns around and walks back. then bends down and looks like it picks something up.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person walks forward and takes a couple steps then bends down and puts something down, and then tu/sample7_repeat0_len196.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person walks forward and takes a couple steps then bends down and puts something down, and then tu/sample7_repeat0_len196.npy",,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-10T23:05:21,mogents,m0gt_object_sequence_001__shuffle,m0gt_object_sequence_001,long_horizon,shuffle,OK,,"a person walks back after turning around, then walks forward and takes a couple steps, bends down and picks something up, then bends down and looks like it sets something down.","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/animations/a person walks back after turning around, then walks forward and takes a couple steps, bends down an/sample8_repeat0_len196.mp4","/data/Life Me/ResearchWY Vault/linkedCodebases/mogents/outputs/modebug_m0_gt_paired_20260510_mogents/joints/a person walks back after turning around, then walks forward and takes a couple steps, bends down an/sample8_repeat0_len196.npy",,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
