family,layer,l2_mean,n
ca_output_perturbation,0,926.9591267903646,3
ca_output_perturbation,1,1215.503173828125,3
ca_output_perturbation,2,1352.1537272135417,3
ca_output_perturbation,3,1249.291748046875,3
ca_output_perturbation,4,1129.6990152994792,3
ca_output_perturbation,5,1216.5037434895833,3
ca_output_perturbation,6,897.5208536783854,3
ca_output_perturbation,7,966.6844482421875,3
ca_output_perturbation,8,1207.141357421875,3
ca_output_perturbation,9,1129.8827311197917,3
ca_output_perturbation,10,1548.2504475911458,3
ca_output_perturbation,11,1117.5863850911458,3
ca_output_perturbation,12,1319.1558024088542,3
ca_output_perturbation,13,973.1089477539062,3
ca_output_perturbation,14,1388.2408854166667,3
ca_output_perturbation,15,1330.4981689453125,3
cfg_hidden_replacement,0,949.1569010416666,3
cfg_hidden_replacement,1,1450.4890543619792,3
cfg_hidden_replacement,2,1786.2355143229167,3
cfg_hidden_replacement,3,1903.7451578776042,3
cfg_hidden_replacement,4,2024.8427327473958,3
cfg_hidden_replacement,5,2091.39501953125,3
cfg_hidden_replacement,6,2115.2714029947915,3
cfg_hidden_replacement,7,2129.58203125,3
cfg_hidden_replacement,8,2183.1869303385415,3
cfg_hidden_replacement,9,2258.2945963541665,3
cfg_hidden_replacement,10,2332.885498046875,3
cfg_hidden_replacement,11,2425.19580078125,3
cfg_hidden_replacement,12,2497.512939453125,3
cfg_hidden_replacement,13,2520.469482421875,3
cfg_hidden_replacement,14,2609.6598307291665,3
cfg_hidden_replacement,15,3260.6336263020835,3
