paper_title,authors,primary_category,categories,importance,importance_score,importance_reason,selected,selected_reason,oral,final_award,award_candidate,oral_session,top_topic,top_highlight,top_session,openaccess_html,paper_link,cvf_pdf,project_or_code,source_tags
2-Shots in the Dark: Low-Light Denoising with Minimal Data Acquisition,"Liying Lu, Raphael Achddou, Sabine Süsstrunk",Image Restoration / Computational Imaging,Image Restoration / Computational Imaging,,0,,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Lu_2-Shots_in_the_Dark_Low-Light_Denoising_with_Minimal_Data_Acquisition_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Lu_2-Shots_in_the_Dark_Low-Light_Denoising_with_Minimal_Data_Acquisition_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lu_2-Shots_in_the_Dark_Low-Light_Denoising_with_Minimal_Data_Acquisition_CVPR_2026_paper.pdf,,cvf_openaccess
240FPS Stereo Vision from Monocular Mixed Spikes,"Yeliduosi Xiaokaiti, Yakun Chang, Yang Bai, Zhaojun Huang, Peiqi Duan, Boxin Shi",3D Vision / Geometry / Reconstruction,3D Vision / Geometry / Reconstruction,,22,hot:3D Vision / Geometry / Reconstruction,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Xiaokaiti_240FPS_Stereo_Vision_from_Monocular_Mixed_Spikes_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Xiaokaiti_240FPS_Stereo_Vision_from_Monocular_Mixed_Spikes_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xiaokaiti_240FPS_Stereo_Vision_from_Monocular_Mixed_Spikes_CVPR_2026_paper.pdf,,cvf_openaccess
2D-LFM: Lifting Foundation Model without 3D Supervision,"Mosam Dabhi, Irhas Gill, László A. Jeni, Simon Lucey",3D Vision / Geometry / Reconstruction,3D Vision / Geometry / Reconstruction,,22,hot:3D Vision / Geometry / Reconstruction,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Dabhi_2D-LFM_Lifting_Foundation_Model_without_3D_Supervision_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Dabhi_2D-LFM_Lifting_Foundation_Model_without_3D_Supervision_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Dabhi_2D-LFM_Lifting_Foundation_Model_without_3D_Supervision_CVPR_2026_paper.pdf,,cvf_openaccess
2ndMatch: Finetuning Pruned Diffusion Models via Second-Order Jacobian Matching,"Caleb Zheng, Eli Shlizerman",Generative Models / Diffusion / Unified Gen-Understanding,Generative Models / Diffusion / Unified Gen-Understanding,,23,hot:Generative Models / Diffusion / Unified Gen-Understanding,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Zheng_2ndMatch_Finetuning_Pruned_Diffusion_Models_via_Second-Order_Jacobian_Matching_CVPR_2026_paper.html,https://arxiv.org/abs/2506.05398,https://openaccess.thecvf.com/content/CVPR2026/papers/Zheng_2ndMatch_Finetuning_Pruned_Diffusion_Models_via_Second-Order_Jacobian_Matching_CVPR_2026_paper.pdf,,cvf_openaccess
3D-Aware Implicit Motion Control for View-Adaptive Human Video Generation,"Zhixue Fang, Xu He, Songlin Tang, Haoxian Zhang, Qingfeng Li, Xiaoqiang Liu, Pengfei Wan, Kun Gai",Character Animation / Motion Generation / Understanding,Character Animation / Motion Generation / Understanding; 3D Vision / Geometry / Reconstruction; Generative Models / Diffusion / Unified Gen-Understanding,A,75,hot:Character Animation / Motion Generation / Understanding;hot:3D Vision / Geometry / Reconstruction;hot:Generative Models / Diffusion / Unified Gen-Understanding,yes,all_category_5_motion,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Fang_3D-Aware_Implicit_Motion_Control_for_View-Adaptive_Human_Video_Generation_CVPR_2026_paper.html,https://arxiv.org/abs/2602.03796,https://openaccess.thecvf.com/content/CVPR2026/papers/Fang_3D-Aware_Implicit_Motion_Control_for_View-Adaptive_Human_Video_Generation_CVPR_2026_paper.pdf,,cvf_openaccess
3D-Aware Multi-Task Learning with Cross-View Correlations for Dense Scene Understanding,"Xiaoye Wang, Chen Tang, Xiangyu Yue, Wei-Hong Li",3D Vision / Geometry / Reconstruction,3D Vision / Geometry / Reconstruction,,22,hot:3D Vision / Geometry / Reconstruction,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_3D-Aware_Multi-Task_Learning_with_Cross-View_Correlations_for_Dense_Scene_Understanding_CVPR_2026_paper.html,https://arxiv.org/abs/2511.20646,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_3D-Aware_Multi-Task_Learning_with_Cross-View_Correlations_for_Dense_Scene_Understanding_CVPR_2026_paper.pdf,,cvf_openaccess
3D-Fixer: Coarse-to-Fine In-place Completion for 3D Scenes from a Single Image,"Ze-Xin Yin, Liu Liu, Xinjie Wang, Wei Sui, Zhizhong Su, Jian Yang, Jin Xie",3D Vision / Geometry / Reconstruction,3D Vision / Geometry / Reconstruction,,22,hot:3D Vision / Geometry / Reconstruction,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Yin_3D-Fixer_Coarse-to-Fine_In-place_Completion_for_3D_Scenes_from_a_Single_CVPR_2026_paper.html,https://arxiv.org/abs/2604.04406,https://openaccess.thecvf.com/content/CVPR2026/papers/Yin_3D-Fixer_Coarse-to-Fine_In-place_Completion_for_3D_Scenes_from_a_Single_CVPR_2026_paper.pdf,,cvf_openaccess
3D Gaussian Splatting at Arbitrary Resolutions with Compact Proxy Anchors,"Mingyun Jeong, Seongro Yoon, Francois Bremond, Donghyeon Cho",3D Vision / Geometry / Reconstruction,3D Vision / Geometry / Reconstruction,,22,hot:3D Vision / Geometry / Reconstruction,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Jeong_3D_Gaussian_Splatting_at_Arbitrary_Resolutions_with_Compact_Proxy_Anchors_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Jeong_3D_Gaussian_Splatting_at_Arbitrary_Resolutions_with_Compact_Proxy_Anchors_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jeong_3D_Gaussian_Splatting_at_Arbitrary_Resolutions_with_Compact_Proxy_Anchors_CVPR_2026_paper.pdf,,cvf_openaccess
3D Gaussian Splatting from Unposed Spike Stream,"Yijia Guo, Tong Hu, Liwen Hu, Lei Ma, Tiejun Huang",3D Vision / Geometry / Reconstruction,3D Vision / Geometry / Reconstruction,,22,hot:3D Vision / Geometry / Reconstruction,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Guo_3D_Gaussian_Splatting_from_Unposed_Spike_Stream_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Guo_3D_Gaussian_Splatting_from_Unposed_Spike_Stream_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Guo_3D_Gaussian_Splatting_from_Unposed_Spike_Stream_CVPR_2026_paper.pdf,,cvf_openaccess
3D Gaussian Splatting with Self-Constrained Priors for High Fidelity Surface Reconstruction,"Takeshi Noda, Yu-Shen Liu, Zhizhong Han",3D Vision / Geometry / Reconstruction,3D Vision / Geometry / Reconstruction,,22,hot:3D Vision / Geometry / Reconstruction,no,,no,,no,,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Noda_3D_Gaussian_Splatting_with_Self-Constrained_Priors_for_High_Fidelity_Surface_CVPR_2026_paper.html,https://arxiv.org/abs/2603.19682,https://openaccess.thecvf.com/content/CVPR2026/papers/Noda_3D_Gaussian_Splatting_with_Self-Constrained_Priors_for_High_Fidelity_Surface_CVPR_2026_paper.pdf,,cvf_openaccess
