state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Wait,S,ChordEdit: One-Step Low-Energy Transport for Image Editing,CVPR 2026,,https://arxiv.org/abs/2602.19083,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=173 | reason=forced_oral_final_award,
Wait,S,ComPose: A Unified Completion-Pose Framework for Robust Category-Level Object Pose Estimation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Ren_ComPose_A_Unified_Completion-Pose_Framework_for_Robust_Category-Level_Object_Pose_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=108 | reason=forced_oral,
Wait,S,Adversarial Style Optimization: Enhancing VLM Jailbreaks by GRPO-based Stylistic Triggers Optimization,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Luo_Adversarial_Style_Optimization_Enhancing_VLM_Jailbreaks_by_GRPO-based_Stylistic_Triggers_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Reinforcement Learning | score=106 | reason=forced_oral,
Wait,S,SliderEdit: Continuous Image Editing with Fine-Grained Instruction Control,CVPR 2026,,https://arxiv.org/abs/2511.09715,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=103 | reason=forced_oral,
Wait,S,AT-VLA: Adaptive Tactile Injection for Enhanced Feedback Reaction in Vision-Language-Action Models,CVPR 2026,,https://arxiv.org/abs/2605.07308,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=102 | reason=forced_oral,
Wait,S,CodeV: Code with Images for Faithful Visual Reasoning via Tool-Aware Policy Optimization,CVPR 2026,,https://arxiv.org/abs/2511.19661,CVPR_2026_full_collect_20260612 | Agentic / Embodied / Planning | score=102 | reason=forced_oral,
Wait,S,CoSMo3D: Open-World Promptable 3D Semantic Segmentation through LLM-Guided Canonical Spatial Modeling,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Jin_CoSMo3D_Open-World_Promptable_3D_Semantic_Segmentation_through_LLM-Guided_Canonical_Spatial_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=102 | reason=forced_oral,
Wait,S,SPARK: Sim-ready Part-level Articulated Reconstruction with VLM Knowledge,CVPR 2026,,https://arxiv.org/abs/2512.01629,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=102 | reason=forced_oral,
Wait,S,3D-LATTE: Latent Space 3D Editing from Textual Instructions,CVPR 2026,,https://arxiv.org/abs/2509.00269,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=100 | reason=forced_oral,
Wait,S,AnchorFlow: Training-Free 3D Editing via Latent Anchor-Aligned Flows,CVPR 2026,,https://arxiv.org/abs/2511.22357,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=100 | reason=forced_oral,
Wait,S,Breaking Semantic Boundaries: Distribution-Guided Semantic Exploration for Creative Generation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Feng_Breaking_Semantic_Boundaries_Distribution-Guided_Semantic_Exploration_for_Creative_Generation_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=100 | reason=forced_oral,
Wait,S,FUSER: Feed-Forward Multiview 3D Registration Transformer and SE(3)$^N$ Diffusion Refinement,CVPR 2026,,https://arxiv.org/abs/2512.09373,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=100 | reason=forced_oral,
Wait,S,Proxy-GS: Unified Occlusion Priors for Training and Inference in Structured 3D Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2509.24421,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=100 | reason=forced_oral,
