csv_line,paper_title,reason,attempt_count
2047,"3DReflecNet: A Large-Scale Dataset for 3D Reconstruction of Reflective, Transparent, and Low-Texture Objects","request failed: ('Connection broken: IncompleteRead(15628245 bytes read, 10189190 more expected)', IncompleteRead(15628245 bytes read, 10189190 more expected))",1
2057,MAGICIAN: Efficient Long-Term Planning with Imagined Gaussians for Active Mapping,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2603.22650.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",1
2095,SocialNav: Training Human-Inspired Foundation Model for Socially-Aware Embodied Navigation,"request failed: ('Connection broken: IncompleteRead(3948544 bytes read, 25983804 more expected)', IncompleteRead(3948544 bytes read, 25983804 more expected))",1
2099,OLATverse: A Large-scale Real-world Object Dataset with Precise Lighting Control,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2511.02483.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",1
2142,Spectrum from Defocus: Fast Spectral Imaging with Chromatic Focal Stack,"request failed: ('Connection broken: IncompleteRead(20521536 bytes read, 6321993 more expected)', IncompleteRead(20521536 bytes read, 6321993 more expected))",1
2148,AREA3D: Active Reconstruction Agent with Unified Feed-Forward 3D Perception and Vision-Language Guidance,"request failed: ('Connection broken: IncompleteRead(49152 bytes read, 38225173 more expected)', IncompleteRead(49152 bytes read, 38225173 more expected))",1
2164,Cross-Hand Latent Representation for Vision-Language-Action Models,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2603.10158.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",1
2206,CrossHOI-Bench: A Unified Benchmark for HOI Evaluation across Vision-Language Models and HOI-Specific Methods,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2508.18753.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",1
2246,A Unified Perspective on Adversarial Membership Manipulation in Vision Models,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2604.02780.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",1
2263,"One Token, Two Fates: A Unified Framework via Vision Token Manipulation Against MLLMs Hallucination","request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2603.10360 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1
2265,Robo-SGG: Exploiting Layout-Oriented Normalization and Restitution Can Improve Robust Scene Graph Generation,"request failed: ('Connection broken: IncompleteRead(1448064 bytes read, 30593 more expected)', IncompleteRead(1448064 bytes read, 30593 more expected))",1
2344,Synthetic Curriculum Reinforces Compositional Text-to-Image Generation,"request failed: ('Connection broken: IncompleteRead(4159246 bytes read, 35485587 more expected)', IncompleteRead(4159246 bytes read, 35485587 more expected))",1
2353,"UniEdit-I: Training-free Image Editing for Unified VLM via Iterative Understanding, Editing and Verifying","request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2508.03142.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",1
2371,ArtLLM: Generating Articulated Assets via 3D LLM,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2603.01142.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",1
2411,Recurrent Reasoning with Vision-Language Models for Estimating Long-Horizon Embodied Task Progress,"request failed: ('Connection broken: IncompleteRead(4403597 bytes read, 578891 more expected)', IncompleteRead(4403597 bytes read, 578891 more expected))",1
2412,Rethinking Intermediate Representation for VLM-based Robot Manipulation,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2511.19315.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",1
2498,Gen3R: 3D Scene Generation Meets Feed-Forward Reconstruction,"request failed: ('Connection broken: IncompleteRead(24150016 bytes read, 48865921 more expected)', IncompleteRead(24150016 bytes read, 48865921 more expected))",1
2545,MeshMosaic: Scaling Artist Mesh Generation via Local-to-Global Assembly,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2509.19995.pdf (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1
2555,ObjectMorpher: 3D-Aware Image Editing via Deformable 3DGS,"request failed: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2603.28152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1
