state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Wait,B,ActAvatar: Temporally-Aware Precise Action Control for Talking Avatars,CVPR 2026,,https://arxiv.org/abs/2512.19546,CVPR_2026_human_recon_pose_supplement_20260612 | Other Vision / Applications | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,Active Intelligence in Video Avatars via Closed-loop World Modeling,CVPR 2026,,https://arxiv.org/abs/2512.20615,CVPR_2026_human_recon_pose_supplement_20260612 | Other Vision / Applications | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,A,AnyLift: Scaling Motion Reconstruction from Internet Videos via 2D Diffusion,CVPR 2026,,https://arxiv.org/abs/2604.17818,CVPR_2026_human_recon_pose_supplement_20260612 | Character Animation / Motion Generation / Understanding | reasons=category5_pose_recon | source_selected=yes | ds_review=keep,
Wait,B,ArtHOI: Taming Foundation Models for Monocular 4D Reconstruction of Hand-Articulated-Object Interactions,CVPR 2026,,https://arxiv.org/abs/2603.25791,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,CrowdGaussian: Reconstructing High-Fidelity 3D Gaussians for Human Crowd from a Single Image,CVPR 2026,,https://arxiv.org/abs/2603.17779,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,FlexAvatar: Flexible Large Reconstruction Model for Animatable Gaussian Head Avatars with Detailed Deformation,CVPR 2026,,https://arxiv.org/abs/2512.17717,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,FlexAvatar: Learning Complete 3D Head Avatars with Partial Supervision,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Kirschstein_FlexAvatar_Learning_Complete_3D_Head_Avatars_with_Partial_Supervision_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,Human Interaction-Aware 3D Reconstruction from a Single Image,CVPR 2026,,https://arxiv.org/abs/2604.05436,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,HyperGaussians: High-Dimensional Gaussian Splatting for High-Fidelity Animatable Face Avatars,CVPR 2026,,https://arxiv.org/abs/2507.02803,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,Illumination-Consistent Human-Scene Reconstruction from Monocular Video,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Zheng_Illumination-Consistent_Human-Scene_Reconstruction_from_Monocular_Video_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,JUMP-Hand: Learning Joint-wise Uncertainty to Gate Mixture of View Experts for Multi-View 3D Hand Reconstruction,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Kuang_JUMP-Hand_Learning_Joint-wise_Uncertainty_to_Gate_Mixture_of_View_Experts_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
