state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,B,ActAvatar: Temporally-Aware Precise Action Control for Talking Avatars,CVPR 2026,,https://arxiv.org/abs/2512.19546,CVPR_2026_human_recon_pose_supplement_20260612 | Other Vision / Applications | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/ActAvatar:_Temporally-Aware_Precise_Action_Control_for_Talking_Avatars.pdf
Downloaded,B,Active Intelligence in Video Avatars via Closed-loop World Modeling,CVPR 2026,,https://arxiv.org/abs/2512.20615,CVPR_2026_human_recon_pose_supplement_20260612 | Other Vision / Applications | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/Active_Intelligence_in_Video_Avatars_via_Closed-loop_World_Modeling.pdf
Downloaded,A,AnyLift: Scaling Motion Reconstruction from Internet Videos via 2D Diffusion,CVPR 2026,,https://arxiv.org/abs/2604.17818,CVPR_2026_human_recon_pose_supplement_20260612 | Character Animation / Motion Generation / Understanding | reasons=category5_pose_recon | source_selected=yes | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/AnyLift:_Scaling_Motion_Reconstruction_from_Internet_Videos_via_2D_Diffusion.pdf
Downloaded,B,ArtHOI: Taming Foundation Models for Monocular 4D Reconstruction of Hand-Articulated-Object Interactions,CVPR 2026,,https://arxiv.org/abs/2603.25791,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/ArtHOI:_Taming_Foundation_Models_for_Monocular_4D_Reconstruction_of_Hand-Articulated-Object_Interactions.pdf
Downloaded,B,CrowdGaussian: Reconstructing High-Fidelity 3D Gaussians for Human Crowd from a Single Image,CVPR 2026,,https://arxiv.org/abs/2603.17779,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/CrowdGaussian:_Reconstructing_High-Fidelity_3D_Gaussians_for_Human_Crowd_from_a_Single_Image.pdf
Downloaded,B,FlexAvatar: Flexible Large Reconstruction Model for Animatable Gaussian Head Avatars with Detailed Deformation,CVPR 2026,,https://arxiv.org/abs/2512.17717,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/FlexAvatar:_Flexible_Large_Reconstruction_Model_for_Animatable_Gaussian_Head_Avatars_with_Detailed_Deformation.pdf
Downloaded,B,FlexAvatar: Learning Complete 3D Head Avatars with Partial Supervision,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Kirschstein_FlexAvatar_Learning_Complete_3D_Head_Avatars_with_Partial_Supervision_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/FlexAvatar:_Learning_Complete_3D_Head_Avatars_with_Partial_Supervision.pdf
Downloaded,B,Human Interaction-Aware 3D Reconstruction from a Single Image,CVPR 2026,,https://arxiv.org/abs/2604.05436,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/Human_Interaction-Aware_3D_Reconstruction_from_a_Single_Image.pdf
Downloaded,B,HyperGaussians: High-Dimensional Gaussian Splatting for High-Fidelity Animatable Face Avatars,CVPR 2026,,https://arxiv.org/abs/2507.02803,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/HyperGaussians:_High-Dimensional_Gaussian_Splatting_for_High-Fidelity_Animatable_Face_Avatars.pdf
Downloaded,B,Illumination-Consistent Human-Scene Reconstruction from Monocular Video,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Zheng_Illumination-Consistent_Human-Scene_Reconstruction_from_Monocular_Video_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/Illumination-Consistent_Human-Scene_Reconstruction_from_Monocular_Video.pdf
Downloaded,B,JUMP-Hand: Learning Joint-wise Uncertainty to Gate Mixture of View Experts for Multi-View 3D Hand Reconstruction,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Kuang_JUMP-Hand_Learning_Joint-wise_Uncertainty_to_Gate_Mixture_of_View_Experts_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/JUMP-Hand:_Learning_Joint-wise_Uncertainty_to_Gate_Mixture_of_View_Experts_for_Multi-View_3D_Hand_Reconstruction.pdf
