rank,score,exists_in_paper_list,title,paper_link,downloaded_url,pdf_private_path,reasons
1,177,False,Light-X: Generative 4D Video Rendering with Camera and Illumination Control,https://openreview.net/forum?id=VBew6vESGL,https://openreview.net/pdf?id=VBew6vESGL,_private/resmax_downloads/pdfs/ICLR_2026/Light-X_Generative_4D_Video_Rendering_with_Camera_and_Illumination_Control__d4dde8c331aa.pdf,3d4d_generation;dynamic_4d;explicit_4d;rendering_nvs;visual_spatial_3d
2,155,False,Mango-GS: Enhancing Spatio-Temporal Consistency in Dynamic Scenes Reconstruction using Multi-Frame Node-Guided 4D Gaussian Splatting,https://openreview.net/forum?id=N4VKlSxCLc,https://openreview.net/pdf?id=N4VKlSxCLc,_private/resmax_downloads/pdfs/ICLR_2026/Mango-GS_Enhancing_Spatio-Temporal_Consistency_in_Dynamic_Scenes_Reconstruction___df1c4f8104b2.pdf,3d_gaussian_splatting;dynamic_4d;explicit_4d;reconstruction
3,155,False,Uncertainty Matters in Dynamic Gaussian Splatting for Monocular 4D Reconstruction,https://openreview.net/forum?id=m3rZ7Fdlst,https://openreview.net/pdf?id=m3rZ7Fdlst,_private/resmax_downloads/pdfs/ICLR_2026/Uncertainty_Matters_in_Dynamic_Gaussian_Splatting_for_Monocular_4D_Reconstructio__f0906ec8357c.pdf,3d_gaussian_splatting;dynamic_4d;explicit_4d;reconstruction
4,151,True,OmniWorld: A Multi-Domain and Multi-Modal Dataset for 4D World Modeling,https://openreview.net/forum?id=1y1YFKb9pp,https://openreview.net/pdf?id=1y1YFKb9pp,_private/resmax_downloads/pdfs/ICLR_2026/OmniWorld_A_Multi-Domain_and_Multi-Modal_Dataset_for_4D_World_Modeling__a20b2e80f22a.pdf,3d4d_generation;explicit_4d;visual_spatial_3d;world_model
5,148,True,Beyond Visual Reconstruction Quality: Object Perception-aware 3D Gaussian Splatting for Autonomous Driving,https://openreview.net/forum?id=PmQlMTBmpa,https://openreview.net/pdf?id=PmQlMTBmpa,_private/resmax_downloads/pdfs/ICLR_2026/Beyond_Visual_Reconstruction_Quality_Object_Perception-aware_3D_Gaussian_Splatti__ee142dc94a84.pdf,3d4d_generation;3d_gaussian_splatting;reconstruction;visual_spatial_3d
6,139,False,D$^2$GS: Depth-and-Density Guided Gaussian Splatting for Stable and Accurate Sparse-View Reconstruction,https://openreview.net/forum?id=7yvz93kBw9,https://openreview.net/pdf?id=7yvz93kBw9,_private/resmax_downloads/pdfs/ICLR_2026/D_2_GS_Depth-and-Density_Guided_Gaussian_Splatting_for_Stable_and_Accurate_Spars__24092536ec5d.pdf,3d_gaussian_splatting;3d_perception_geometry;reconstruction;visual_spatial_3d
7,139,True,Geometry Forcing: Marrying Video Diffusion and 3D Representation for Consistent World Modeling,https://openreview.net/forum?id=ULXYZCms41,https://openreview.net/pdf?id=ULXYZCms41,_private/resmax_downloads/pdfs/ICLR_2026/Geometry_Forcing_Marrying_Video_Diffusion_and_3D_Representation_for_Consistent_W__f78f129fb9b3.pdf,3d4d_generation;dynamic_4d;representation;visual_spatial_3d;world_model
8,139,False,Geometry-aware 4D Video Generation for Robot Manipulation,https://openreview.net/forum?id=18gC6pZVVc,https://openreview.net/pdf?id=18gC6pZVVc,_private/resmax_downloads/pdfs/ICLR_2026/Geometry-aware_4D_Video_Generation_for_Robot_Manipulation__dceab2ee24a9.pdf,3d4d_generation;dynamic_4d;explicit_4d;visual_spatial_3d
9,139,True,LLaVA-4D: Embedding SpatioTemporal Prompt into LMMs for 4D Scene Understanding,https://openreview.net/forum?id=URpbmVEsqB,https://openreview.net/pdf?id=URpbmVEsqB,_private/resmax_downloads/pdfs/ICLR_2026/LLaVA-4D_Embedding_SpatioTemporal_Prompt_into_LMMs_for_4D_Scene_Understanding__a508a8806c82.pdf,3d4d_generation;dynamic_4d;explicit_4d;visual_spatial_3d
10,134,False,ODE-GS: Latent ODEs for Dynamic Scene Extrapolation with 3D Gaussian Splatting,https://openreview.net/forum?id=XlRbpFj3lJ,https://openreview.net/pdf?id=XlRbpFj3lJ,_private/resmax_downloads/pdfs/ICLR_2026/ODE-GS_Latent_ODEs_for_Dynamic_Scene_Extrapolation_with_3D_Gaussian_Splatting__6975a66efdbb.pdf,3d4d_generation;3d_gaussian_splatting;dynamic_4d;visual_spatial_3d
11,128,True,AdaViewPlanner: Adapting Video Diffusion Models for Viewpoint Planning in 4D Scenes,https://openreview.net/forum?id=c2EfS9E5CJ,https://openreview.net/pdf?id=c2EfS9E5CJ,_private/resmax_downloads/pdfs/ICLR_2026/AdaViewPlanner_Adapting_Video_Diffusion_Models_for_Viewpoint_Planning_in_4D_Scen__eec776cc8a2a.pdf,3d4d_generation;3d_perception_geometry;dynamic_4d;explicit_4d
12,123,False,Implicit 4D Gaussian Splatting for Fast Motion with Large Inter-Frame Displacements,https://openreview.net/forum?id=MWtXs60n38,https://openreview.net/pdf?id=MWtXs60n38,_private/resmax_downloads/pdfs/ICLR_2026/Implicit_4D_Gaussian_Splatting_for_Fast_Motion_with_Large_Inter-Frame_Displaceme__a038d3b5b498.pdf,3d_gaussian_splatting;dynamic_4d;explicit_4d
13,123,False,Mono4DGS-HDR: High Dynamic Range 4D Gaussian Splatting from Alternating-exposure Monocular Videos,https://openreview.net/forum?id=9ZrjgzlAuh,https://openreview.net/pdf?id=9ZrjgzlAuh,_private/resmax_downloads/pdfs/ICLR_2026/Mono4DGS-HDR_High_Dynamic_Range_4D_Gaussian_Splatting_from_Alternating-exposure___8634b557c5bd.pdf,3d_gaussian_splatting;dynamic_4d;explicit_4d
14,122,False,CylinderSplat: 3D Gaussian Splatting with Cylindrical Triplanes for Panoramic Novel View Synthesis,https://openreview.net/forum?id=lEzkct87Uy,https://openreview.net/pdf?id=lEzkct87Uy,_private/resmax_downloads/pdfs/ICLR_2026/CylinderSplat_3D_Gaussian_Splatting_with_Cylindrical_Triplanes_for_Panoramic_Nov__778e41b31bd1.pdf,3d_gaussian_splatting;rendering_nvs;visual_spatial_3d
15,121,False,WorldSplat: Gaussian-Centric Feed-Forward 4D Scene Generation for Autonomous Driving,https://openreview.net/forum?id=KWeX6tYno6,https://openreview.net/pdf?id=KWeX6tYno6,_private/resmax_downloads/pdfs/ICLR_2026/WorldSplat_Gaussian-Centric_Feed-Forward_4D_Scene_Generation_for_Autonomous_Driv__f29223160c30.pdf,3d4d_generation;explicit_4d;visual_spatial_3d
16,116,True,Lyra: Generative 3D Scene Reconstruction via Video Diffusion Model Self-Distillation,https://openreview.net/forum?id=tIVCfVnIHo,https://openreview.net/pdf?id=tIVCfVnIHo,_private/resmax_downloads/pdfs/ICLR_2026/Lyra_Generative_3D_Scene_Reconstruction_via_Video_Diffusion_Model_Self-Distillat__7b7ec9884e94.pdf,3d4d_generation;dynamic_4d;reconstruction;visual_spatial_3d
17,116,False,Signal Structure-Aware Gaussian Splatting for Large-Scale Scene Reconstruction,https://openreview.net/forum?id=DavFcTeTbK,https://openreview.net/pdf?id=DavFcTeTbK,_private/resmax_downloads/pdfs/ICLR_2026/Signal_Structure-Aware_Gaussian_Splatting_for_Large-Scale_Scene_Reconstruction__b8fbdcdc91cf.pdf,3d_gaussian_splatting;reconstruction;visual_spatial_3d
18,116,True,Text-to-3D by Stitching a Multi-view Reconstruction Network to a Video Generator,https://openreview.net/forum?id=kI27Niy4xY,https://openreview.net/pdf?id=kI27Niy4xY,_private/resmax_downloads/pdfs/ICLR_2026/Text-to-3D_by_Stitching_a_Multi-view_Reconstruction_Network_to_a_Video_Generator__4b4bf71fab28.pdf,3d4d_generation;dynamic_4d;reconstruction;visual_spatial_3d
19,116,True,UniSplat: Unified Spatio-Temporal Fusion via 3D Latent Scaffolds for Dynamic Driving Scene Reconstruction,https://openreview.net/forum?id=Ng2VDbKD4r,https://openreview.net/pdf?id=Ng2VDbKD4r,_private/resmax_downloads/pdfs/ICLR_2026/UniSplat_Unified_Spatio-Temporal_Fusion_via_3D_Latent_Scaffolds_for_Dynamic_Driv__39a30f83c0fb.pdf,3d4d_generation;dynamic_4d;reconstruction;visual_spatial_3d
20,114,True,FantasyWorld: Geometry-Consistent World Modeling via Unified Video and 3D Prediction,https://openreview.net/forum?id=3q9vHEqsNx,https://openreview.net/pdf?id=3q9vHEqsNx,_private/resmax_downloads/pdfs/ICLR_2026/FantasyWorld_Geometry-Consistent_World_Modeling_via_Unified_Video_and_3D_Predict__43b15c774360.pdf,3d4d_generation;dynamic_4d;visual_spatial_3d;world_model
21,107,True,3D Scene Prompting for Scene-Consistent Camera-Controllable Video Generation,https://openreview.net/forum?id=3XxoBwMusJ,https://openreview.net/pdf?id=3XxoBwMusJ,_private/resmax_downloads/pdfs/ICLR_2026/3D_Scene_Prompting_for_Scene-Consistent_Camera-Controllable_Video_Generation__ICLR_2026_3d_scene_prompting_for_scene_consistent_camera_controllable_video_generation.pdf,3d4d_generation;3d_perception_geometry;dynamic_4d;visual_spatial_3d
22,107,True,MotionWeaver: Holistic 4D-Anchored Framework for Multi-Humanoid Image Animation,https://openreview.net/forum?id=KjlLwRsiUE,https://openreview.net/pdf?id=KjlLwRsiUE,_private/resmax_downloads/pdfs/ICLR_2026/MotionWeaver_Holistic_4D-Anchored_Framework_for_Multi-Humanoid_Image_Animation__e4c2d2e3d872.pdf,dynamic_4d;explicit_4d;visual_spatial_3d
23,107,False,UniHand: A Unified Model for Diverse Controlled 4D Hand Motion Modeling,https://openreview.net/forum?id=upUl6hMYwy,https://openreview.net/pdf?id=upUl6hMYwy,_private/resmax_downloads/pdfs/ICLR_2026/UniHand_A_Unified_Model_for_Diverse_Controlled_4D_Hand_Motion_Modeling__fb445fed84c1.pdf,dynamic_4d;explicit_4d;visual_spatial_3d
24,105,False,EasyCreator: Empowering 4D Creation through Video Inpainting,https://openreview.net/forum?id=mU8Ubd8aNK,https://openreview.net/pdf?id=mU8Ubd8aNK,_private/resmax_downloads/pdfs/ICLR_2026/EasyCreator_Empowering_4D_Creation_through_Video_Inpainting__0433338d18d5.pdf,3d4d_generation;dynamic_4d;explicit_4d
25,105,False,Mesh Splatting for End-to-end Multiview Surface Reconstruction,https://openreview.net/forum?id=PSgps4JXTb,https://openreview.net/pdf?id=PSgps4JXTb,_private/resmax_downloads/pdfs/ICLR_2026/Mesh_Splatting_for_End-to-end_Multiview_Surface_Reconstruction__023e28fff1e0.pdf,3d_gaussian_splatting;3d_perception_geometry;reconstruction
26,105,True,MTVCraft: Tokenizing 4D Motion for Arbitrary Character Animation,https://openreview.net/forum?id=m7AQM9H6wa,https://openreview.net/pdf?id=m7AQM9H6wa,_private/resmax_downloads/pdfs/ICLR_2026/MTVCraft_Tokenizing_4D_Motion_for_Arbitrary_Character_Animation__6ee0a2de75a1.pdf,3d4d_generation;dynamic_4d;explicit_4d
27,105,False,Trace Anything: Representing Any Video in 4D via Trajectory Fields,https://openreview.net/forum?id=BqaChqppVh,https://openreview.net/pdf?id=BqaChqppVh,_private/resmax_downloads/pdfs/ICLR_2026/Trace_Anything_Representing_Any_Video_in_4D_via_Trajectory_Fields__c3173ca21ca2.pdf,3d4d_generation;dynamic_4d;explicit_4d
28,104,False,EA3D: Event-Augmented 3D Diffusion for Generalizable Novel View Synthesis,https://openreview.net/forum?id=YwawhlWdtm,https://openreview.net/pdf?id=YwawhlWdtm,_private/resmax_downloads/pdfs/ICLR_2026/EA3D_Event-Augmented_3D_Diffusion_for_Generalizable_Novel_View_Synthesis__bb1d8358dc6f.pdf,3d4d_generation;rendering_nvs;visual_spatial_3d
29,100,False,ETGS: Explicit Thermodynamics Gaussian Splatting for Dynamic Thermal Reconstruction,https://openreview.net/forum?id=P2Nw2LMkjH,https://openreview.net/pdf?id=P2Nw2LMkjH,_private/resmax_downloads/pdfs/ICLR_2026/ETGS_Explicit_Thermodynamics_Gaussian_Splatting_for_Dynamic_Thermal_Reconstructi__6090bdf94c7b.pdf,3d_gaussian_splatting;dynamic_4d;reconstruction
30,98,True,Active Learning of 3D Gaussian Splatting with Consistent Region Partition and Robust Pose Estimation,https://openreview.net/forum?id=yye5kN9jH7,https://openreview.net/pdf?id=yye5kN9jH7,_private/resmax_downloads/pdfs/ICLR_2026/Active_Learning_of_3D_Gaussian_Splatting_with_Consistent_Region_Partition_and_Ro__8f8bfebe44f6.pdf,3d_gaussian_splatting;3d_perception_geometry;representation
31,98,True,FastAvatar: Towards Unified and Fast 3D Avatar Reconstruction with Large Gaussian Reconstruction Transformers,https://openreview.net/forum?id=P7zBSCs4Xt,https://openreview.net/pdf?id=P7zBSCs4Xt,_private/resmax_downloads/pdfs/ICLR_2026/FastAvatar_Towards_Unified_and_Fast_3D_Avatar_Reconstruction_with_Large_Gaussian__2481fa3d8823.pdf,3d4d_generation;reconstruction;visual_spatial_3d
