state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,S,Light-X: Generative 4D Video Rendering with Camera and Illumination Control,ICLR 2026,,https://openreview.net/forum?id=VBew6vESGL,ICLR_2026_3d4d_supplement_20260612 | score=177 | reasons=3d4d_generation;dynamic_4d;explicit_4d;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=1,obsidian-vault/paperPDFs/ICLR_2026/Light-X_Generative_4D_Video_Rendering_with_Camera_and_Illumination_Control__d4dde8c331aa.pdf
Downloaded,S,Mango-GS: Enhancing Spatio-Temporal Consistency in Dynamic Scenes Reconstruction using Multi-Frame Node-Guided 4D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=N4VKlSxCLc,ICLR_2026_3d4d_supplement_20260612 | score=155 | reasons=3d_gaussian_splatting;dynamic_4d;explicit_4d;reconstruction | ds_review=keep | candidate_rank=2,obsidian-vault/paperPDFs/ICLR_2026/Mango-GS_Enhancing_Spatio-Temporal_Consistency_in_Dynamic_Scenes_Reconstruction___df1c4f8104b2.pdf
Downloaded,S,Uncertainty Matters in Dynamic Gaussian Splatting for Monocular 4D Reconstruction,ICLR 2026,,https://openreview.net/forum?id=m3rZ7Fdlst,ICLR_2026_3d4d_supplement_20260612 | score=155 | reasons=3d_gaussian_splatting;dynamic_4d;explicit_4d;reconstruction | ds_review=keep | candidate_rank=3,obsidian-vault/paperPDFs/ICLR_2026/Uncertainty_Matters_in_Dynamic_Gaussian_Splatting_for_Monocular_4D_Reconstructio__f0906ec8357c.pdf
Downloaded,S,D$^2$GS: Depth-and-Density Guided Gaussian Splatting for Stable and Accurate Sparse-View Reconstruction,ICLR 2026,,https://openreview.net/forum?id=7yvz93kBw9,ICLR_2026_3d4d_supplement_20260612 | score=139 | reasons=3d_gaussian_splatting;3d_perception_geometry;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=6,obsidian-vault/paperPDFs/ICLR_2026/D_2_GS_Depth-and-Density_Guided_Gaussian_Splatting_for_Stable_and_Accurate_Spars__24092536ec5d.pdf
Downloaded,S,Geometry-aware 4D Video Generation for Robot Manipulation,ICLR 2026,,https://openreview.net/forum?id=18gC6pZVVc,ICLR_2026_3d4d_supplement_20260612 | score=139 | reasons=3d4d_generation;dynamic_4d;explicit_4d;visual_spatial_3d | ds_review=keep | candidate_rank=8,obsidian-vault/paperPDFs/ICLR_2026/Geometry-aware_4D_Video_Generation_for_Robot_Manipulation__dceab2ee24a9.pdf
Downloaded,S,ODE-GS: Latent ODEs for Dynamic Scene Extrapolation with 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=XlRbpFj3lJ,ICLR_2026_3d4d_supplement_20260612 | score=134 | reasons=3d4d_generation;3d_gaussian_splatting;dynamic_4d;visual_spatial_3d | ds_review=keep | candidate_rank=10,obsidian-vault/paperPDFs/ICLR_2026/ODE-GS_Latent_ODEs_for_Dynamic_Scene_Extrapolation_with_3D_Gaussian_Splatting__6975a66efdbb.pdf
Downloaded,S,Implicit 4D Gaussian Splatting for Fast Motion with Large Inter-Frame Displacements,ICLR 2026,,https://openreview.net/forum?id=MWtXs60n38,ICLR_2026_3d4d_supplement_20260612 | score=123 | reasons=3d_gaussian_splatting;dynamic_4d;explicit_4d | ds_review=keep | candidate_rank=12,obsidian-vault/paperPDFs/ICLR_2026/Implicit_4D_Gaussian_Splatting_for_Fast_Motion_with_Large_Inter-Frame_Displaceme__a038d3b5b498.pdf
Downloaded,S,Mono4DGS-HDR: High Dynamic Range 4D Gaussian Splatting from Alternating-exposure Monocular Videos,ICLR 2026,,https://openreview.net/forum?id=9ZrjgzlAuh,ICLR_2026_3d4d_supplement_20260612 | score=123 | reasons=3d_gaussian_splatting;dynamic_4d;explicit_4d | ds_review=keep | candidate_rank=13,obsidian-vault/paperPDFs/ICLR_2026/Mono4DGS-HDR_High_Dynamic_Range_4D_Gaussian_Splatting_from_Alternating-exposure___8634b557c5bd.pdf
Downloaded,S,CylinderSplat: 3D Gaussian Splatting with Cylindrical Triplanes for Panoramic Novel View Synthesis,ICLR 2026,,https://openreview.net/forum?id=lEzkct87Uy,ICLR_2026_3d4d_supplement_20260612 | score=122 | reasons=3d_gaussian_splatting;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=14,obsidian-vault/paperPDFs/ICLR_2026/CylinderSplat_3D_Gaussian_Splatting_with_Cylindrical_Triplanes_for_Panoramic_Nov__778e41b31bd1.pdf
Downloaded,S,WorldSplat: Gaussian-Centric Feed-Forward 4D Scene Generation for Autonomous Driving,ICLR 2026,,https://openreview.net/forum?id=KWeX6tYno6,ICLR_2026_3d4d_supplement_20260612 | score=121 | reasons=3d4d_generation;explicit_4d;visual_spatial_3d | ds_review=keep | candidate_rank=15,obsidian-vault/paperPDFs/ICLR_2026/WorldSplat_Gaussian-Centric_Feed-Forward_4D_Scene_Generation_for_Autonomous_Driv__f29223160c30.pdf
Downloaded,A,Signal Structure-Aware Gaussian Splatting for Large-Scale Scene Reconstruction,ICLR 2026,,https://openreview.net/forum?id=DavFcTeTbK,ICLR_2026_3d4d_supplement_20260612 | score=116 | reasons=3d_gaussian_splatting;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=17,obsidian-vault/paperPDFs/ICLR_2026/Signal_Structure-Aware_Gaussian_Splatting_for_Large-Scale_Scene_Reconstruction__b8fbdcdc91cf.pdf
