source_index,title,publication,paper,project,code,dataset,model,demo,resource_type,appended
1,FreeForm: Reduced-Order Deformable Simulation from Particle-Based Skinning Eigenmodes,CVPR 2026,https://research.nvidia.com/labs/sil/projects/freeform/assets/main.pdf,https://research.nvidia.com/labs/sil/projects/freeform/,https://github.com/NVIDIAGameWorks/kaolin,,,,paper,yes
2,Test-Time Training with KV Binding Is Secretly Linear Attention,ICML 2026,https://arxiv.org/abs/2602.21204,https://research.nvidia.com/labs/sil/projects/tttla/,https://github.com/nv-tlabs/tttla,,,,paper,yes
3,Realiz3D: 3D Generation Made Photorealistic via Domain-Aware Learning,CVPR 2026,https://arxiv.org/abs/2605.13852,https://idosobol.github.io/realiz3d/,,,,,paper,yes
4,InstructMix2Mix: Consistent Sparse-View Editing Through Multi-View Model Personalization,CVPR 2026,https://arxiv.org/abs/2511.14899,https://danielgilo.github.io/instruct-mix2mix/,https://github.com/DanielGilo/instruct-mix2mix/tree/main,,,,paper,yes
5,Prox-E: Fine-Grained 3D Shape Editing via Primitive-Based Abstractions,SIGGRAPH 2026,https://arxiv.org/abs/2604.23774,https://etaisella.github.io/Prox-E/,https://github.com/etaisella/Prox-E,,,,paper,yes
6,VoMP: Predicting Volumetric Mechanical Property Fields,ICLR 2026,https://arxiv.org/abs/2510.22975,https://research.nvidia.com/labs/sil/projects/vomp/,https://github.com/nv-tlabs/VoMP,,,https://huggingface.co/spaces/nvidia/PhysicalAI-Robotics-VoMP-Demo,paper,yes
7,ArtisanGS: Interactive Tools for Gaussian Splat Selection with AI and Human in the Loop,arXiv 2026,https://arxiv.org/abs/2602.10173,https://research.nvidia.com/labs/sil/projects/ArtisanGS/,,,,,paper,yes
8,ArtiFixer: Enhancing and Extending 3D Reconstruction with Auto-Regressive Diffusion Models,SIGGRAPH 2026,https://arxiv.org/abs/2603.00492,https://research.nvidia.com/labs/sil/projects/artifixer/,,,,,paper,yes
9,NCore: An Open-Source Multi-Sensor Data Platform for Neural 3D Reconstruction and Physical AI,Open-Source Library 2026,,https://research.nvidia.com/labs/sil/projects/ncore/,https://github.com/NVIDIA/ncore,https://huggingface.co/datasets/nvidia/PhysicalAI-Autonomous-Vehicles-NCore,,,dataset,yes
10,DiffusionHarmonizer: Bridging Neural Reconstruction and Photorealistic Simulation with Online Diffusion Enhancer,CVPR 2026,https://arxiv.org/abs/2602.24096,https://research.nvidia.com/labs/sil/projects/diffusion-harmonizer/,,,,,paper,yes
